,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,,"10h - Vidéo
10h30 - Activation
11h - Séance 50",,,,"10h30 - Activation
10h30 - Récup
11h - Compensation 4",
Midi,,,,,,,
Après-midi,"13h - Activation
13h - Récup
13h30 - Séance 49
15h - Muscu 21
","14h30 - Vidéo
15h - Muscu 22","14h - Vidéo
14h30 - Activation
15h - Séance 51","15h - Vidéo
15h30 - Activation
16h - Séance 52","15h - Activation
15h30 - Repas
J4 : RCL - OL 19h",,
