,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,,,,,,,
Midi,,,,,,,
Après-midi,,,J17 : RCL - Montpellier,,,CL Finale,CDF 1/4
