,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,"9h45 - Vidéo
10h15 - Strap
10h30 - Activation
11h - Séance 68","9h45 - Vidéo
10h15 - Strap
10h30 - Activation
11h - Séance 69",,10h - informatique,,"10h30 - Récup Gr1
11h30 - Récup Gr2
10h30 - Activation 
11h - Compensation 6",
Midi,,,,,,,
Après-midi,"14h - Relais
14h30 - Muscu 31","14h - Atelier tactique
15h - Muscu 32
16h - UNFP (dopage)","14h15 - Vidéo
14h45 - Strap
15h - Activation
15h30 - Séance 70
17h - Muscu 33
","14h - Vidéo
14h45 - Strap
15h - Activation
15h30 - Séance 71",J7 : RCL - PFC 19h,,
