,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,,"8h - Masse grasse
8h30 - 9h20 Breakfast
10h - Vidéo
10h30 - Activation
11h - Séance 45",,,,,
Midi,"13h30 - Récup GR1
14h15 - Récup GR2",,,,,,
Après-midi,"14h - Activation
14h30 - Compensation 3","14h30 - Vidéo
15h - Muscu 19","13h45 - Gestion du patrimoine
14h30 - Activation
15h - Séance 46
17h - Muscu 20","14h - Vidéo
14h30 - Activation
15h - Séance 47","14h30 - Vidéo
15h - Activation
15h30 - Séance 48","J3 : RCL - Nantes 17h
Récup post match",Amical 1 : Anderlecht - RCL
