,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,,"8h30 Pesée + Breakfast
10h - Vidéo
10h30 - Activation
11h - Séance 64",,,,,
Midi,,,,,,,
Après-midi,,"14h30 - Vidéo
15h - Muscu 28
16h15 - Concertation plan de jeu","13h30 - Atelier tactique
14h30 - Activation
15h - Séance 65
17h - Muscu 29","14h30 - Vidéo
15h - Activation
15h30 - Séance 66
17h - Muscu 30","14h15 - Vidéo
15h - Activation
15h30 - Séance 67",J6 : Fleury - RCL 17h,"11h - Récup Gr1
12h - Récup Gr2"
