,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,,"10h - Vidéo
10h15 - Strap
10h30 - Activation
11h - Séance",,,,,
Midi,,,,,,,
Après-midi,,15h - Muscu,"13h30 - Atelier tactique
14h30 - Activation
15h - Séance
17h - Muscu","14h - Vidéo
14h30 - Activation
15h - Séance
16h30 - Muscu",,J14 : Nantes - RCL 17h,
