,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,"14h - Activation
14h30 - Compensation 1",,,,,,
Midi,,,,,,,
Après-midi,,"14h - Activation
14h30 - Séance 37
16h30 - Muscu 15","14h - Activation
14h30 - Séance 38
16h30 - Muscu 16","14h - Activation
14h30 - Séance 39","15h - Activation
15h30 - Séance 40",CL1 : Fleury - RCL 15h,
