,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,,"10h - Activation
10h30 - Séance 33",,,,,
Midi,,,,,,,
Après-midi,,14h - Muscu 13,"15h - Activation
15h30 - Séance 34
17h30 - Muscu 14","15h - Activation
15h30 - Séance 34","15h - Activation
15h30 - Séance 34",J1 : RCL - PSG 21h,
