,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,,"9h45 - Vidéo
10h15 - Strap
10h30 - Activation
11h - Séance 88",,,"9h - Vidéo
9h15 - Strap
9h30 - Activation
10h - Séance 91",,
Midi,,,,,,,
Après-midi,,"13h45 - UNFP
14h30 - Vidéo
15h - Muscu 43","13h45 - Atelier tactique
14h45 - Strap
15h - Activation
15h30 - Séance 89
16h45 - Remise des cadeaux et photo
17h - Muscu 44","14h15 - Vidéo
14h45 - Strap
15h - Activation
15h30 - Séance 90",,J10 : Dijon - RCL 17h,
