,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,,"9h30- Vidéo
10h - Activation
10h30 - Séance 57",,,8h - Séance 60,,
Midi,13h - Récup,,,,,,
Après-midi,"14h - Activation
14h30 - Compensation 5",14h - Muscu 25,"14h - Vidéo
14h30 - Activation
15h - Séance 58
17h - Muscu 26","14h - Vidéo
14h30 - Activation
15h - Séance 59",,J3 : Montpellier - RCL,
