,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,"9h45 - Vidéo
10h15 - Strap
10h30 - Activation
11h - Séance 103","9h45 - Vidéo
10h15 - Strap
10h30 - Activation
11h - Séance 104",,,,,
Midi,,,,,,,
Après-midi,14h30 - Muscu 49,,J12 : OL - RCL 19h,"12h30 - Repas
14h15 - Vidéo 
14h45 - Strap
15h - Activation
15h30 - Séance 105
17h - Muscu 50","13h45 - Vidéo
14h15 - Strap
14h30 - Activation
15h - Séance 106",J13 : RCL - RCSA 14h,
