,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,"8h - Masse grasse + breakfast
9h45 - Vidéo
10h15 - Strap
10h30 - Activation
11h - Séance 72","9h45 - Vidéo
10h15 - Strap
10h30 - Activation
11h - Séance 73",,,,"10h30 - Récup Gr1
11h30 - Récup Gr2
10h30 - Activation 
11h - Compensation 7",
Midi,,,,,,,
Après-midi,14h30 - Muscu 34,"14h - Atelier tactique
15h - Muscu 35","14h15 - Vidéo
14h45 - Strap
15h - Activation
15h30 - Séance 74
17h - Muscu 36","14h - Vidéo
14h45 - Strap
15h - Activation
15h30 - Séance 75",CL3 : LOSC - RCL 19h,,
