,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,,,,,,"11h - Activation
11h30 - Séance 63",
Midi,,,,,,,
Après-midi,,,,"16h30 - Muscu 27
17h30 - Séance 61","13h30 - Activation
14h - Séance 62
",,
