,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,"8h30 - Pesée + breakfast
9h45 - Vidéo
10h15 - Strap
10h30 - Activation
11h - Séance 84","9h45 - Vidéo
10h15 - Strap
10h30 - Activation
11h - Séance 85",,,,"10h30 - Récup Gr1
11h30 - Récup Gr2
10h30 - Activation 
11h - Compensation 8",
Midi,,,,,,,
Après-midi,15h - Muscu 41,"14h - Atelier tactique
15h - Muscu 42","14h15 - Vidéo
14h45 - Strap
15h - Activation
15h30 - Séance 86","14h - Vidéo
14h45 - Strap
15h - Activation
15h30 - Séance 87",J9 : RCL - Saint-étienne 21h,,
