,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,,,,,,"9h - Test
11h - Activation
11h30 - Séance 97","9h - Test
10h30 - Activation
11h - Séance 98"
Midi,,,,,,,
Après-midi,,,,,"16h - Activation
16h30 - Séance 96",15h - Muscu 46,
