,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,"9h45 - Vidéo
10h15 - Strap
10h30 - Activation
11h - Séance 76","9h45 - Vidéo
10h15 - Strap
10h30 - Activation
11h - Séance 77",,"8h - Activation (non obligatoire) + Strap
8h30 - Séance 79",,,
Midi,,,,,,,
Après-midi,"14h - Intervention Yann
14h30 - Muscu 37","14h - Atelier tactique
15h - Muscu 38","14h15 - Vidéo
14h45 - Strap
15h - Activation
15h30 - Séance 78",,J8 : OM - RCL 21h,,
