,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,"
","10h - Activation
10h30 - Séance 41",,,"9h30 - Activation
10h - Séance 44",,
Midi,13h30 - Récup,,13h30 - BV sport,,,,
Après-midi,"14h - Activation
14h30 - Compensation 2",14h30 - Muscu 17,"15h - Activation
15h30 - Séance 42
17h - Muscu 20","14h - Activation
14h30 - Séance 43",,J2 : Strasbourg - RCL 17h,
