,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,,"8h - Masse grasse + breakfast
9h45 - Vidéo
10h15 - Strap
10h30 - Activation
11h - Séance 92","9h45 - Strap
10h - Activation
10h30 - Séance 93",,,,
Midi,"13h - Récup GR1
13h45 - Récup GR2",,,,,,
Après-midi,"14h - Activation
14h30 - Compensation",14h30 - Muscu 45,"
","14h15 - Vidéo
14h45 - Strap
15h - Activation
15h30 - Séance 94","14h - Vidéo
14h45 - Strap
15h - Activation
15h30 - Séance 95",J11 : RCL - HAC 21h,
