,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Matin,,,"10h30 - Activation
11h - Séance 80",,,"11h - Activation
11h30 - Séance 83",
Midi,,,,,,,
Après-midi,Permanence soin,Permanence soin,"Opération joueuse 
18h - Remise trophée montée D1
","14h30 - Activation
15h - Séance 81
17h - Muscu 39","14h30 - Activation
15h - Séance 82
17h - Muscu 40",,
