Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 1",Attaquante,"Metz - RCL",47,5081.31494,1365.62,460.81,155.75999,13.24,0,2,8,10,1,24.67594,107.81792
"Madelynn ANDERSON - MT 2",Attaquante,"Metz - RCL",12,1133.36487,339.76001,192.42999,20.1,0,0,0,1,1,0,20.80114,93.76985
"Louann ARCHIER - MT 2",Attaquante,"Metz - RCL",38,4336.78564,1126.42004,473.04999,325.81,95.52,172.23,7,12,27,10,28.95596,114.2131
"Tess DAVID - MT 1","Milieu Défensif","Metz - RCL",47,5593.06641,1945.98999,698.82001,184.3,25.67,0,7,17,12,2,24.59057,118.67653
"Tess DAVID - MT 2","Milieu Défensif","Metz - RCL",50,5351.97803,1798.82996,678.08002,241.98,39.6,13.08,10,11,13,3,25.65393,106.57206
"Fatima EL GHAZOUANI - MT 1","Défenseur Central","Metz - RCL",47,4948.34521,1481.92004,369.91,62.03,23.84,25.29,6,11,5,3,26.95538,104.9965
"Fatima EL GHAZOUANI - MT 2","Défenseur Central","Metz - RCL",50,4691.73926,1186.26001,312,113.77,52.35,32.79,4,6,6,2,27.17868,93.42496
"Aude GBEDJISSI - MT 1",Attaquante,"Metz - RCL",47,4623.34424,981.56,362.38,169.08,82.15,33.91,11,17,17,6,28.37425,98.10047
"Aude GBEDJISSI - MT 2",Attaquante,"Metz - RCL",50,4623.20605,865.02002,478.59,271.98001,52.16,62.78,12,13,20,5,27.76848,92.06028
"Sherly JEUDY - MT 1",Attaquante,"Metz - RCL",47,4885.75293,1603.01001,446.76001,176.84,55.3,26.87,5,12,16,6,26.82136,103.66839
"Sherly JEUDY - MT 2",Attaquante,"Metz - RCL",50,4553.40527,1331.39001,549.77002,280.51001,51.16,37.91,4,11,18,4,27.03242,90.67036
"Blandine JOLY - MT 1",Gardienne,"Metz - RCL",47,2483.21509,121.51,26.27,14.42,0,0,2,2,2,0,21.50958,52.69012
"Blandine JOLY - MT 2",Gardienne,"Metz - RCL",50,2610.07666,172.45,37.77,9.3,0,0,3,3,1,0,20.65898,51.97354
"Alizée MEREAU - MT 1",Attaquante,"Metz - RCL",47,4955.84717,1216.09998,392.51999,194.98,55.28,71.03,7,21,19,7,27.79417,105.15568
"Alizée MEREAU - MT 2",Attaquante,"Metz - RCL",50,4802.24805,1354.78003,353.91,155.99001,94.25,113.65,7,13,13,7,28.83968,95.62548
"Jennifer MEUNIER - MT 1",Piston,"Metz - RCL",47,5018.43115,1342.56995,402.26001,197.73,41.33,13.34,8,23,20,4,25.76206,106.48362
"Dayana PIERRE LOUIS - MT 1","Milieu Défensif","Metz - RCL",47,4968.98633,1785.18994,337.51999,115.46,2.93,0,2,7,9,0,23.37602,105.43448
"Dayana PIERRE LOUIS - MT 2","Milieu Défensif","Metz - RCL",50,4613.80078,1453.53003,379.79999,63.65,21.16,4.75,4,6,5,1,25.71743,91.873
"Carla POLITO - MT 1","Milieu Défensif","Metz - RCL",47,4782.59766,1463.93994,371.62,69.78,0,0,1,7,5,0,22.37764,101.47959
"Carla POLITO - MT 2","Milieu Défensif","Metz - RCL",50,4755.14355,1431.17004,359.26999,114.08,28.51,0,4,2,7,2,24.13332,94.68751
"Fany PRONIEZ - MT 2",Piston,"Metz - RCL",50,4864.71484,1142.95996,479.26999,283.79001,43.22,55.45,8,18,18,4,30.06511,96.86936
"Emma SMAALI - MT 1","Défenseur Central","Metz - RCL",47,4664.4458,1193.93005,395.95999,71.24,14.94,0,2,3,6,1,23.94229,98.97258
"Emma SMAALI - MT 2","Défenseur Central","Metz - RCL",50,4362.60693,1126.89001,277.07001,215.77,10.68,0,1,2,9,1,23.39229,86.87106
