Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 1",Gardienne,"Liège - RCL",48,1842.33264,146.10001,42.94,0,0,0,0,0,0,0,18.96634,38.16091
"Louann ARCHIER - MT 1",Attaquante,"Liège - RCL",48,5665.1665,1764.30005,566.92999,292.35999,79.06,84,6,16,28,7,27.37644,117.34468
"Clara BERTRAND - MT 2",Sentinelle,"Liège - RCL",45,5446,1807.37,811.22998,308.79001,12.82,0,12,14,24,1,23.69621,120.88075
"Tess DAVID - MT 1",Sentinelle,"Liège - RCL",48,5636.60596,2079.78003,895.26001,223.07001,41.14,0,4,14,17,2,25.18836,116.7531
"Fatima EL GHAZOUANI - MT 2","Défenseur Central","Liège - RCL",45,4802.42725,1277.62,407.88,133.14,55.29,31.75,4,7,13,3,26.25599,106.59585
"Kaina EL KOUMIR - MT 1",Attaquante,"Liège - RCL",48,4960.7915,1334.27002,533.27002,156.89,44.13,12.32,7,15,16,4,26.92119,102.7547
"Julia EVRARD - MT 2",Sentinelle,"Liège - RCL",5,583.32953,207.45,36.66,8.7,0,0,1,2,1,0,20.09386,125.89846
"Aude GBEDJISSI - MT 2",Attaquante,"Liège - RCL",45,5019.5166,1332.70996,555.31,207.32001,48.84,6.27,13,14,18,3,25.86235,111.41442
"Sherly JEUDY - MT 2",Attaquante,"Liège - RCL",45,4784.9248,1374.08997,391.01999,139.67,44.26,41.94,10,11,13,5,27.38168,106.20736
"Emmy JEZEQUEL - MT 1","Défenseur Central","Liège - RCL",48,4992.88428,1701.06995,474.14001,89.18,0,0,4,12,7,0,22.02427,103.41945
"Blandine JOLY - MT 2",Gardienne,"Liège - RCL",45,2526.72095,176.69,0,0,0,0,0,0,0,0,14.993,56.08372
"Lara KAZANDJIAN - MT 1",Sentinelle,"Liège - RCL",48,5271.86865,1478.63,690.34998,281.73999,0,0,13,17,25,0,22.63657,109.19816
"Romane LEJEUNE - MT 1","Défenseur Central","Liège - RCL",48,4074.68066,907.76001,306.70001,107.7,30.03,8.29,2,5,9,3,27.29605,84.40036
"Jennifer LIMAGE - MT 2","Défenseur Central","Liège - RCL",45,4750.06641,1353.93005,392.60001,186.63,11.75,0,8,14,15,2,24.24936,105.43363
"Jennifer MEUNIER - MT 1",Piston,"Liège - RCL",22,2319.6394,558.29999,261.76001,98.29,14.46,0,3,3,6,1,25.13772,104.16061
"Laureen OILLIC - MT 1",Piston,"Liège - RCL",48,4565.51465,1076.31995,415.41,183.33,73.85,0,4,6,12,6,24.7757,94.56719
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"Liège - RCL",48,4513.05908,1206.19995,379.59,148.03,53.13,4.83,6,13,10,2,25.60494,93.48066
"Laurine PINOT - MT 1","Défenseur Central","Liège - RCL",48,4693.61475,1347.28003,509.75,164.52,13.16,0,3,13,12,1,24.97504,97.22057
"Carla POLITO - MT 2",Sentinelle,"Liège - RCL",45,4906.96484,1628.46997,414.81,49.44,9.02,4.01,6,6,6,1,25.56947,108.91619
"Fany PRONIEZ - MT 2",Piston,"Liège - RCL",45,4702.37842,1133.16003,509.34,296.91,77.41,95.65,8,21,23,8,29.49903,104.37514
"Manon REVELLI - MT 1",Piston,"Liège - RCL",26,2526.38989,723.06,310.34,132.42,14.5,0,5,10,12,1,24.85448,96.19212
"Manon REVELLI - MT 2",Piston,"Liège - RCL",40,4177.1167,1171.56006,519.56,290.79999,42.83,29.25,4,19,19,4,27.31533,103.57515
"Emma SMAALI - MT 2","Défenseur Central","Liège - RCL",45,4093.51929,934.67999,271.87,90.6,0,0,5,4,4,0,22.98042,90.86075
"Naomie VAGRE - MT 2",Attaquante,"Liège - RCL",45,4635.98535,1213.97998,505.87,137.19,40.87,32.37,10,16,10,3,27.0978,102.90146
