Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 1",Attaquante,"Rouen - RCL",48,4242.12793,1111.31006,303.04999,68.14,2.26,0,4,7,7,0,23.21987,88.88164
"Madelynn ANDERSON - MT 2",Attaquante,"Rouen - RCL",48,4272.38477,931.69,454.84,142.95,0,0,3,7,10,0,22.33724,89.58722
"Clara BERTRAND - MT 2",Sentinelle,"Rouen - RCL",30,3583.30933,1215.5,545.26001,117.71,3.19,0,6,8,9,0,23.21291,120.73484
"Tess DAVID - MT 1",Sentinelle,"Rouen - RCL",48,5593.93213,1864.46997,624.90997,290.20999,24.19,13.75,6,19,20,3,27.63249,117.20482
"Tess DAVID - MT 2",Sentinelle,"Rouen - RCL",18,1940.41663,675.07001,262.69,48.11,7.77,0,2,1,3,1,23.32524,107.87284
"Kaina EL KOUMIR - MT 1",Attaquante,"Rouen - RCL",48,4757.5542,1143.35999,359.57001,210.36,52.06,0,7,6,12,2,24.58784,99.68092
"Aude GBEDJISSI - MT 1",Attaquante,"Rouen - RCL",48,4500.29736,1005.71997,282.37,106.34,32.22,17.3,8,19,10,2,26.56943,94.29084
"Aude GBEDJISSI - MT 2",Attaquante,"Rouen - RCL",18,1781.81812,391.39001,168.14,76.09,16.78,8.14,4,4,7,2,25.79443,98.57006
"Blandine JOLY - MT 1",Gardienne,"Rouen - RCL",48,2030.80518,122.32,23.96,0,0,0,0,0,0,0,16.36801,42.5497
"Blandine JOLY - MT 2",Gardienne,"Rouen - RCL",48,2162.68628,159.03999,0,0,0,0,0,0,0,0,14.47926,45.34916
"Lara KAZANDJIAN - MT 2",Sentinelle,"Rouen - RCL",30,3272.70825,963.47998,411.26001,77.69,0,0,0,6,4,0,21.45744,109.70769
"Romane LEJEUNE - MT 1","Défenseur Central","Rouen - RCL",48,4223.05029,997.46002,311.42999,35.8,4.74,0,2,5,4,0,23.48483,88.48192
"Jennifer LIMAGE - MT 1","Défenseur Central","Rouen - RCL",48,4645.86279,1237.26001,384.51001,43.25,0,0,8,2,4,0,21.21519,97.34074
"Jennifer LIMAGE - MT 2","Défenseur Central","Rouen - RCL",48,4416.75879,1211.22998,404.60001,60,1.83,0,6,5,4,0,23.07116,92.61459
"Alizée MEREAU - MT 1",Attaquante,"Rouen - RCL",48,4408.77197,1152.39001,264.45999,132.92,17.16,35.42,2,7,11,2,28.05413,92.37318
"Alizée MEREAU - MT 2",Attaquante,"Rouen - RCL",48,4446.25244,1022.34998,304.59,175.14,64.6,22.65,4,12,12,6,27.16708,93.23304
"Jennifer MEUNIER - MT 1",Piston,"Rouen - RCL",48,4464.3252,1060.97998,337.20001,131.27,50.96,1.34,7,16,13,4,25.26783,93.53714
"Jennifer MEUNIER - MT 2",Piston,"Rouen - RCL",48,4520.52002,1028.60999,389.92999,232.66,38.49,17.77,9,9,18,3,26.79667,94.79035
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"Rouen - RCL",48,4509.28125,1141.56006,463.01999,166.44,23.18,0,4,12,13,2,25.01952,94.55468
"Laurine PINOT - MT 1",Piston,"Rouen - RCL",48,4871.20898,1283.97998,489.64001,129.96001,1.1,0,0,8,9,0,23.09646,102.06223
"Laurine PINOT - MT 2",Piston,"Rouen - RCL",48,4671.19385,1080.16003,593.82001,165.14999,20.16,0,4,6,10,2,24.96096,97.94981
"Carla POLITO - MT 1",Sentinelle,"Rouen - RCL",48,4620.4624,1349.85999,175.07001,17.52,0,0,5,2,2,0,21.00917,96.80855
"Carla POLITO - MT 2",Sentinelle,"Rouen - RCL",48,4292.01807,1195.68994,269.87,38.03,0,0,4,8,6,0,20.93007,89.99891
"Manon REVELLI - MT 2","Défenseur Central","Rouen - RCL",48,4306.34668,934.03003,199.27,63.47,3.65,0,2,7,6,0,23.58968,90.29937
