Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 2",Attaquante,"Nice - RCL",27,3170.37305,991.94,273.98001,73.04,0,0,1,6,5,0,22.84347,116.32689
"Louann ARCHIER - MT 1",Attaquante,"Nice - RCL",49,5540.44434,1437.13,639.10999,389.76999,127.87,54.55,13,17,33,10,27.14692,113.36991
"Louann ARCHIER - MT 2",Attaquante,"Nice - RCL",22,2500.98438,724.15997,263.51001,147.87,52.09,75.09,6,5,17,6,28.58564,114.12724
"Clara BERTRAND - MT 1",Sentinelle,"Nice - RCL",49,5669.42871,1818.17004,860.17999,324.73999,25.93,17.88,8,9,21,2,25.90487,116.00922
"Clara BERTRAND - MT 2",Sentinelle,"Nice - RCL",51,5530.07129,1706.33997,705.26001,221.63,28.33,0,13,10,18,4,25.00995,107.82914
"Tess DAVID - MT 2",Sentinelle,"Nice - RCL",15,2026.92346,781.46002,290.57001,109.88,0,0,3,8,9,0,22.55453,132.83172
"Kaina EL KOUMIR - MT 2",Attaquante,"Nice - RCL",32,3406.73315,859.69,386.81,222.52,56.11,29.1,8,9,21,5,28.39216,105.55604
"Aude GBEDJISSI - MT 1",Attaquante,"Nice - RCL",49,4749.33594,800.21002,370.64999,193.42,86.06,74.62,22,27,20,12,28.4492,97.18206
"Aude GBEDJISSI - MT 2",Attaquante,"Nice - RCL",51,4887.96729,959.88,517.28998,242.56,93.83,30.51,13,15,24,6,27.86857,95.30895
"Sherly JEUDY - MT 1",Attaquante,"Nice - RCL",49,5181.34473,1510.18005,543.63,236.42999,64.33,32.78,7,23,20,7,27.09032,106.02193
"Sherly JEUDY - MT 2",Attaquante,"Nice - RCL",19,2050.86328,494.82999,239.81,173.53,21.29,0,2,16,12,2,24.19174,108.82798
"Blandine JOLY - MT 1",Gardienne,"Nice - RCL",49,3294.31738,387.73999,79.24,23.78,0,0,4,5,2,0,22.42334,67.40912
"Blandine JOLY - MT 2",Gardienne,"Nice - RCL",51,3159.31616,248.03,45.39,10.33,0,0,1,1,1,0,19.67941,61.60252
"Jennifer LIMAGE - MT 1","Défenseur Central","Nice - RCL",49,5047.93652,1343.66003,444.57999,315.01999,54.92,41.62,9,16,19,7,27.28505,103.2921
"Jennifer LIMAGE - MT 2","Défenseur Central","Nice - RCL",51,5139.84082,1440.43994,453.31,171.28,80.56,0,10,8,14,6,25.18733,100.22016
"Jennifer MEUNIER - MT 1",Piston,"Nice - RCL",49,5201.07129,1545.77002,562.73999,301.76999,27.06,0,8,14,22,3,23.85806,106.42558
"Jennifer MEUNIER - MT 2",Piston,"Nice - RCL",51,5072.10547,1509.97998,430.82001,238.27,24.62,0,7,16,22,2,25.12795,98.89941
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"Nice - RCL",49,5091.32959,1565.17004,473.60999,202.98,36.93,13.15,7,10,13,3,26.68583,104.18002
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"Nice - RCL",36,3392.13672,1114.82996,282.32001,44.94,11.52,0,5,5,5,1,24.05972,94.26879
"Laurine PINOT - MT 1",Piston,"Nice - RCL",49,4984.46533,1410.25,444.07999,185.02,75.86,13.91,4,9,14,5,25.75917,101.99334
"Laurine PINOT - MT 2",Piston,"Nice - RCL",51,4671.62598,1262.55005,356.14999,111.73,0,0,2,6,9,0,22.95453,91.09058
"Carla POLITO - MT 1",Sentinelle,"Nice - RCL",49,4853.6416,1205.35999,448.70999,243.77,92.24,38.23,8,7,16,7,27.60523,99.31639
"Carla POLITO - MT 2",Sentinelle,"Nice - RCL",51,4721.00244,1200.5,397.12,146.41,11.15,0,6,7,9,1,24.1491,92.05336
"Fany PRONIEZ - MT 1",Piston,"Nice - RCL",49,4954.15137,1038.54004,453.04001,323.04001,75.08,55.36,4,11,21,5,27.91771,101.37304
"Fany PRONIEZ - MT 2",Piston,"Nice - RCL",51,5074.27148,987.95001,408.42001,247.69,76.96,100.56,10,14,20,9,29.32219,98.94164
