Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 1",Gardienne,"Le Mans - RCL",54,1974.52856,156.41,6.84,0.88,0,0,0,1,0,0,19.18275,36.41183
"Madelynn ANDERSON - MT 2",Gardienne,"Le Mans - RCL",50,1892.98828,205.69,77.39,7.68,0,0,2,3,1,0,20.41937,37.71719
"Louann ARCHIER - MT 1",Attaquante,"Le Mans - RCL",54,5847.42529,1536.17004,469.51001,266.53,85.88,103.71,10,19,27,11,30.23228,107.83103
"Louann ARCHIER - MT 2",Attaquante,"Le Mans - RCL",50,5284.63525,1323.94995,587.42999,336.47,28.66,13.24,12,22,25,3,25.9035,105.29469
"Clara BERTRAND - MT 2",Sentinelle,"Le Mans - RCL",12,1472.67236,439.16,193.14,41.89,9.81,17.48,0,5,4,1,27.4082,126.83606
"Tess DAVID - MT 2",Sentinelle,"Le Mans - RCL",37,4389.34229,1605.12,653.63,142.52,4.92,0,6,13,11,0,23.9366,118.9701
"Kaina EL KOUMIR - MT 1",Attaquante,"Le Mans - RCL",54,5272.54346,1196.55005,355.14001,176.05,35.06,10.93,6,18,15,3,25.8786,97.22977
"Kaina EL KOUMIR - MT 2",Attaquante,"Le Mans - RCL",39,3502.97729,853.52002,286.88,127.35,13.12,3.41,8,5,11,1,25.71614,90.53141
"Sofia GUELLATI - MT 1","Défenseur Central","Le Mans - RCL",3,405.08429,138.5,39.95,4.34,0,0,0,0,1,0,20.12656,117.35904
"Sofia GUELLATI - MT 2","Défenseur Central","Le Mans - RCL",50,4547.56006,1162.12,259.60999,56.13,9.89,0,5,4,5,1,24.7892,90.6087
"Sherly JEUDY - MT 2",Attaquante,"Le Mans - RCL",12,1274.5752,323.41,124.64,68.42,17.7,0,1,5,5,1,24.16521,110.30826
"Romane LEJEUNE - MT 1","Défenseur Central","Le Mans - RCL",54,5283.89502,1283.68994,476.64001,125.25,33.65,16.82,4,7,12,3,26.54929,97.4391
"Romane LEJEUNE - MT 2","Défenseur Central","Le Mans - RCL",50,4362.12207,1059.88,300.73999,137.7,17.37,8.81,1,14,14,2,26.78883,86.91391
"Jennifer LIMAGE - MT 1","Défenseur Central","Le Mans - RCL",44,4900.87842,1498.72998,361.79999,95.51,12.34,0,10,12,9,1,25.12264,111.42834
"Alizée MEREAU - MT 2",Attaquante,"Le Mans - RCL",37,3873.63818,1053,369.04999,171.84,67.88,44.95,9,15,16,7,27.27771,104.02892
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"Le Mans - RCL",54,5344.12109,1573.79004,457.75,144.25,0,0,5,9,13,0,22.51402,98.54971
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"Le Mans - RCL",13,1362.55981,373.38,130.83,26.22,13.23,4.17,1,4,2,1,25.37225,106.59989
"Laurine PINOT - MT 1","Défenseur Central","Le Mans - RCL",54,5340.2124,1293.76001,469.45001,106.5,12.59,0,3,13,10,1,24.39211,98.47764
"Laurine PINOT - MT 2","Défenseur Central","Le Mans - RCL",39,3554.25854,935.96002,317.17001,88.72,0.69,0,0,5,7,0,23.06396,92.24652
"Carla POLITO - MT 1",Sentinelle,"Le Mans - RCL",54,5975.71582,2216.3999,308.85999,54.02,0,0,5,8,3,0,22.41591,110.19681
"Carla POLITO - MT 2",Sentinelle,"Le Mans - RCL",50,5145.60254,1702.78003,324.59,44,0,0,3,4,4,0,22.34463,102.52451
"Fany PRONIEZ - MT 1",Piston,"Le Mans - RCL",54,5138.58008,1135.93994,359.29001,214.67999,69.13,77.59,10,20,17,7,28.13884,94.75938
"Fany PRONIEZ - MT 2",Piston,"Le Mans - RCL",50,4647.63232,1109.18994,377.95001,185.46001,37.88,64.34,9,17,14,4,29.3401,92.60261
"Emma SMAALI - MT 1","Défenseur Central","Le Mans - RCL",54,5403.85449,1538.84998,354.42999,57.36,0,0,3,6,4,0,21.9156,99.65124
"Emma SMAALI - MT 2","Défenseur Central","Le Mans - RCL",50,4896.70264,1456.03003,314.31,97.86,19.38,0,1,2,6,1,24.15339,97.56526
"Naomie VAGRE - MT 1",Attaquante,"Le Mans - RCL",54,5437.19922,1382.96997,444.10999,213.10001,48.98,55.95,8,24,20,5,29.1846,100.26615
"Naomie VAGRE - MT 2",Attaquante,"Le Mans - RCL",13,1411.55518,347.19,102.4,56.56,53.88,70.43,2,6,6,5,27.92342,110.43304
