Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Louann ARCHIER - MT 1",Attaquante,PFC-RCL,46,6119.34863,1821.26001,707.02002,345.78,99.43,71.08,14,21,29,12,27.6079,132.22304
"Louann ARCHIER - MT 2",Attaquante,PFC-RCL,34,3886.81226,1226.72998,349.91,201.81,32.89,52.29,8,11,16,4,29.02218,115.75243
"Clara BERTRAND - MT 1",Sentinelle,PFC-RCL,46,6257.08838,2245.11011,805.71997,273.5,36.18,23.56,14,18,22,3,26.3541,135.19924
"Clara BERTRAND - MT 2",Sentinelle,PFC-RCL,28,3073.46484,1070.54004,325.04999,97.2,14.63,0,11,11,8,1,23.99971,111.29828
"Tess DAVID - MT 2",Sentinelle,PFC-RCL,21,2725.6001,1061.83997,406.38,73.95,0,0,4,7,5,0,22.40276,127.48264
"Aude GBEDJISSI - MT 1",Attaquante,PFC-RCL,46,5667.6416,1527.40002,611.83002,315.45001,69.05,23.94,17,23,20,9,26.68634,122.46284
"Aude GBEDJISSI - MT 2",Attaquante,PFC-RCL,34,3688.56396,932.35999,411.67001,155,38.1,29.31,15,11,12,3,27.97641,109.84843
"Emmy JEZEQUEL - MT 2","Défenseur Central",PFC-RCL,12,1364.3606,441.56,146.88,61.69,6.41,0,1,3,4,1,23.40949,115.74148
"Blandine JOLY - MT 1",Gardienne,PFC-RCL,46,3399.82104,254.48,22.87,7.49,6.8,0,1,1,1,1,24.63048,73.4612
"Blandine JOLY - MT 2",Gardienne,PFC-RCL,49,2933.1814,170.57001,60.1,3.04,0,0,6,4,0,0,19.91696,59.86736
"Lara KAZANDJIAN - MT 2",Sentinelle,PFC-RCL,16,1914.3385,549.21997,338.32001,141.39,7.83,0,5,6,13,1,24.24524,119.70975
"Romane LEJEUNE - MT 1","Défenseur Central",PFC-RCL,46,4913.82031,1583.90002,399,93.28,24.29,2.61,0,7,9,3,25.45104,106.17475
"Romane LEJEUNE - MT 2","Défenseur Central",PFC-RCL,49,4279.17383,993.52002,259.62,150.78999,41.74,35.39,1,11,12,4,27.64623,87.33958
"Jennifer LIMAGE - MT 1","Défenseur Central",PFC-RCL,46,5412.17822,1825.55005,573.71997,137.59,28.32,5.57,13,21,14,3,25.55011,116.94295
"Jennifer LIMAGE - MT 2","Défenseur Central",PFC-RCL,38,3726.49121,1145.09998,337.17999,126.3,30.27,0,8,10,9,2,24.52519,97.47005
"Jennifer MEUNIER - MT 2",Piston,PFC-RCL,15,1794.91455,538.71997,244.27,77.84,23.44,0,2,5,7,2,24.79775,116.43067
"Laureen OILLIC - MT 1","Défenseur Central",PFC-RCL,46,5412.8042,1747.43005,548.91998,145.44,18.5,14.88,2,13,12,2,25.79606,116.95648
"Laureen OILLIC - MT 2","Défenseur Central",PFC-RCL,38,3538.17969,1056.55005,215.95,62.7,48.28,7.61,3,7,6,3,25.5275,93.48516
"Dayana PIERRE LOUIS - MT 1",Sentinelle,PFC-RCL,46,5263.48975,1751.58997,437.64001,100.13,3.74,0,10,15,9,0,23.37256,113.73018
"Dayana PIERRE LOUIS - MT 2",Sentinelle,PFC-RCL,28,2627.28101,802.96002,96.94,31.82,6.15,14.38,2,1,3,1,27.48555,95.14078
"Laurine PINOT - MT 1","Défenseur Central",PFC-RCL,46,5131.51904,1366.40002,736.83002,163.92,0,0,4,13,14,0,22.35346,110.87864
"Carla POLITO - MT 2",Sentinelle,PFC-RCL,21,2497.15137,953.15997,234.78,25.24,26.25,0,0,1,2,1,25.14476,116.79756
"Fany PRONIEZ - MT 1",Piston,PFC-RCL,46,5191.93848,1370.98999,544.83002,290.04001,65.05,43.38,9,26,23,8,27.8884,112.18415
"Fany PRONIEZ - MT 2",Piston,PFC-RCL,49,4643.55469,998.94,491.59,204.78,69.06,89.69,10,22,22,7,28.75921,94.77674
"Manon REVELLI - MT 2",Piston,PFC-RCL,49,5469.78125,1685.09998,749.25,453.81,26.88,0,10,19,32,1,24.09136,111.64034
"Emma SMAALI - MT 2","Défenseur Central",PFC-RCL,12,1220.20215,288.42001,107.74,71.69,0,0,1,6,6,0,22.6525,98.69524
"Naomie VAGRE - MT 1",Attaquante,PFC-RCL,46,5501.86963,1669.96997,532.60999,203.81,60.68,32.05,8,16,19,6,26.82557,118.88095
"Naomie VAGRE - MT 2",Attaquante,PFC-RCL,49,4681.63232,1264.34998,381.26001,170.14,44.63,55.37,6,13,17,4,29.04674,95.55392
