Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Louann ARCHIER - MT 1",Attaquante,"RCL - Nice",49,5160.88379,1049.62,559.59003,311.56,140.96001,94.1,14,20,24,10,29.23149,104.98919
"Louann ARCHIER - MT 2",Attaquante,"RCL - Nice",34,3344.59814,783.62,279.76999,231.31,64.1,58.07,15,15,20,8,27.44957,98.72915
"Tess DAVID - MT 1","Milieu Défensif","RCL - Nice",49,5620.15967,1806.15002,976.01001,264.26001,45.36,5.54,5,12,22,3,25.48157,114.33236
"Tess DAVID - MT 2","Milieu Défensif","RCL - Nice",38,4108.22559,1336.31006,507.67001,186.17,10.47,0,4,10,14,1,23.1971,109.2899
"Fatima EL GHAZOUANI - MT 1","Défenseur Central","RCL - Nice",49,4823.47656,1301.25,538.53998,164.67,22,1.74,4,9,16,2,25.70127,98.12523
"Fatima EL GHAZOUANI - MT 2","Défenseur Central","RCL - Nice",23,2433.44141,835.27002,168.89999,73.3,1.86,0,4,6,4,0,23.11951,103.60434
"Aude GBEDJISSI - MT 1",Attaquante,"RCL - Nice",49,4611.49902,891.42999,437.39001,338.17999,46.92,10.16,27,20,24,3,26.83086,93.81292
"Aude GBEDJISSI - MT 2",Attaquante,"RCL - Nice",51,4898.28076,966.51001,486.91,278.92001,135.56,46.54,21,24,22,11,28.20997,96.25831
"Blandine JOLY - MT 1",Gardienne,"RCL - Nice",49,2418.95703,223.45,54.11,12.59,0,0,2,1,2,0,20.75408,49.20947
"Blandine JOLY - MT 2",Gardienne,"RCL - Nice",51,2794.93506,233.19,51.07,9.38,0,0,3,3,1,0,21.43678,54.92452
"Romane LEJEUNE - MT 1","Défenseur Central","RCL - Nice",49,4406.15479,1239.33997,386.89999,160.84,32.02,6.17,10,10,14,3,26.15871,89.63555
"Romane LEJEUNE - MT 2","Défenseur Central","RCL - Nice",51,4352.95947,1383.17004,319.79999,70.6,14.63,0,3,10,5,1,23.4539,85.54196
"Jennifer LIMAGE - MT 2","Défenseur Central","RCL - Nice",27,2641.52979,747.89001,219.00999,29.12,3.73,0,5,4,2,0,23.27415,96.40972
"Alizée MEREAU - MT 1",Attaquante,"RCL - Nice",49,4958.29883,1144.21997,463.72,265.12,71.75,16.08,9,23,22,6,26.29495,100.86796
"Alizée MEREAU - MT 2",Attaquante,"RCL - Nice",51,4789.60547,1282.68994,452.32999,291.23999,31.17,0,6,8,19,1,25.18409,94.12269
"Jennifer MEUNIER - MT 2",Piston,"RCL - Nice",27,2755.76367,786.15002,244.25,117.53,9.5,17.15,5,9,10,1,26.28002,103.21212
"Laureen OILLIC - MT 2","Défenseur Central","RCL - Nice",13,1514.71252,350.48001,160.97,125.36,14.9,21.68,4,7,11,1,26.39852,113.69155
"Dayana PIERRE LOUIS - MT 1","Milieu Défensif","RCL - Nice",49,4897.72559,1492,472.35001,121.54,25.88,0,6,5,10,2,25.05519,99.6357
"Dayana PIERRE LOUIS - MT 2","Milieu Défensif","RCL - Nice",51,4654.58008,1363.07996,272.94,47.77,6.96,0,5,4,3,1,24.10042,91.46924
"Laurine PINOT - MT 1",Piston,"RCL - Nice",49,5183.45068,1647.03003,570.01001,179.28999,0,0,10,14,12,0,22.81418,105.44828
"Laurine PINOT - MT 2",Piston,"RCL - Nice",51,5158.67969,1588.28003,709.46997,179.11,12.8,0,6,9,12,1,24.69064,101.37553
"Carla POLITO - MT 2","Milieu Défensif","RCL - Nice",17,1936.86206,744.47998,211.24001,20.91,0,0,1,4,2,0,22.22867,110.74428
"Fany PRONIEZ - MT 1",Piston,"RCL - Nice",49,4649.38135,1167.98999,413.13,227,60.55,61.58,8,14,20,7,27.54218,94.58357
"Fany PRONIEZ - MT 2",Piston,"RCL - Nice",23,2434.29565,687.40002,214.88,112.02,10.98,4.07,10,9,10,1,25.44717,103.64071
"Emma SMAALI - MT 1","Défenseur Central","RCL - Nice",49,3695.1377,1078.5,250.91,12.48,0,0,2,3,1,0,19.72729,75.68953
"Emma SMAALI - MT 2","Défenseur Central","RCL - Nice",51,4313.09912,1215.25,281.47,41.9,0,0,0,3,4,0,20.71998,84.75865
