Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Louann ARCHIER - MT 1",Attaquante,"RCL - Nantes",30,3745.31421,1114.40002,402.19,239.50999,86.81,36.48,9,13,22,9,26.97865,125.73794
"Louann ARCHIER - MT 2",Attaquante,"RCL - Nantes",49,5530.92822,1339.03003,519.71997,414.28,145.42999,162.45,15,17,35,11,29.97934,111.78448
"Clara BERTRAND - MT 1",Sentinelle,"RCL - Nantes",52,6012.10059,2006.53003,779.03998,193.38,26.79,14.29,10,15,20,2,26.36215,115.24793
"Clara BERTRAND - MT 2",Sentinelle,"RCL - Nantes",31,3564.19434,1196.75,422.16,147.64,23.81,24.31,12,11,12,2,27.53054,115.08662
"Kaina EL KOUMIR - MT 2",Attaquante,"RCL - Nantes",49,4764.06738,1236.73999,559.28998,187.59,15.03,59.03,9,19,19,2,28.53102,96.28561
"Aude GBEDJISSI - MT 1",Attaquante,"RCL - Nantes",52,5684.27246,1538.37,725.40997,219.38,18.37,4.17,12,19,15,2,25.49243,108.96369
"Sofia GUELLATI - MT 1","Défenseur Central","RCL - Nantes",52,5284.46973,1626.19995,433.81,98.15,34.41,3.46,5,9,11,2,25.34306,101.29974
"Sofia GUELLATI - MT 2","Défenseur Central","RCL - Nantes",49,4838.4209,1328.68005,372.09,161.66,33.55,22.41,4,7,12,4,26.4091,97.78835
"Sherly JEUDY - MT 1",Attaquante,"RCL - Nantes",52,5759.3623,1700.81995,622.22998,376.03,89.31,6.58,7,23,29,6,25.89645,110.40311
"Sherly JEUDY - MT 2",Attaquante,"RCL - Nantes",49,5399.42676,1645.93994,660.59998,222.73,35.85,5.89,4,19,14,3,25.71271,109.12673
"Blandine JOLY - MT 1",Gardienne,"RCL - Nantes",52,3241.7749,315.47,52.82,36.39,0,0,3,4,3,0,21.75749,62.14265
"Blandine JOLY - MT 2",Gardienne,"RCL - Nantes",49,3127.4707,326.64001,108.51,13.81,0,0,3,5,1,0,20.4084,63.20868
"Romane LEJEUNE - MT 1","Défenseur Central","RCL - Nantes",52,4898.34277,1310.18994,361.32999,243.28999,62.01,33.32,7,11,18,5,26.63532,93.89794
"Romane LEJEUNE - MT 2","Défenseur Central","RCL - Nantes",49,4735.32764,1273.88,414.26001,205.84,82.46,32.97,3,10,19,5,27.52963,95.70475
"Jennifer LIMAGE - MT 1","Défenseur Central","RCL - Nantes",52,5476.14941,1788.01001,540.21997,197.64999,46.72,11.75,12,21,17,5,25.98428,104.97411
"Jennifer LIMAGE - MT 2","Défenseur Central","RCL - Nantes",49,4971.89014,1512.76001,390.92001,132.78999,63.29,33.68,12,15,11,6,26.64687,100.48587
"Alizée MEREAU - MT 2",Attaquante,"RCL - Nantes",19,2123.86694,499.5,175.11,141.10001,34.71,40.24,5,5,8,3,28.78256,111.18655
"Laureen OILLIC - MT 1","Défenseur Central","RCL - Nantes",21,2245.64893,582.71997,281.32001,164.23,17.45,18.43,4,5,10,2,27.45346,105.97182
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"RCL - Nantes",52,5439.36426,1806.22998,553.27002,165.38,5.3,10.34,10,17,11,1,26.4043,104.26896
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"RCL - Nantes",21,2032.00952,641.21002,144.85001,109.16,61.4,7,6,5,9,4,25.92881,97.27653
"Carla POLITO - MT 2",Sentinelle,"RCL - Nantes",29,3437.22656,1215.81006,384.35999,20.72,6.69,0,5,11,2,0,23.49611,118.17461
"Fany PRONIEZ - MT 1",Piston,"RCL - Nantes",20,1924.50989,520.19,235.05,97.56,20.87,37.71,7,7,11,3,27.7331,95.26019
"Manon REVELLI - MT 1",Piston,"RCL - Nantes",30,3631.61841,1096.17004,471.95999,208.74001,60.08,30.84,8,19,18,5,27.42181,119.21734
"Manon REVELLI - MT 2",Piston,"RCL - Nantes",49,5400.6709,1552.07996,635.77002,389.04001,87.54,42.09,9,24,30,8,27.39532,109.15187
"Naomie VAGRE - MT 1",Attaquante,"RCL - Nantes",52,5522.73438,1665.67004,545.64001,279.84,27.71,8.19,5,16,20,3,26.5455,105.86711
"Naomie VAGRE - MT 2",Attaquante,"RCL - Nantes",49,4739.20215,1168.18005,489.22,189.55,65.06,19.01,6,10,14,5,26.44292,95.78306
