Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 2",Attaquante,"La Mans - RCL ",7,885.24524,337.5,66.74,47.52,0,0,0,3,3,0,22.71244,129.58285
"Louann ARCHIER - MT 1",Attaquante,"La Mans - RCL ",50,5350.06641,1448.91003,516.96997,275.10999,52.43,15.16,12,15,23,4,27.54816,106.71427
"Louann ARCHIER - MT 2",Attaquante,"La Mans - RCL ",36,3452.05469,742.52002,318.14001,159.63,47.8,21.16,6,13,16,4,26.16277,96.01398
"Clara BERTRAND - MT 2",Sentinelle,"La Mans - RCL ",16,1760.63818,573.16998,197.49001,18.95,17.56,4.05,4,5,2,1,25.2564,107.86241
"Aude GBEDJISSI - MT 1",Attaquante,"La Mans - RCL ",50,4992.01074,1037.97998,463.70999,233.25,65.84,0,15,20,17,4,25.14079,99.57237
"Aude GBEDJISSI - MT 2",Attaquante,"La Mans - RCL ",52,4942.19678,1025.12,489.94,169.52,12.3,0,18,23,13,1,25.09247,94.53955
"Sherly JEUDY - MT 1",Attaquante,"La Mans - RCL ",50,5461.11133,1745.68005,637.66998,135.67,4.27,0,9,12,15,0,23.53565,108.92921
"Sherly JEUDY - MT 2",Attaquante,"La Mans - RCL ",45,4370.52686,1313.40002,396.79001,46.82,17.22,0,2,7,3,2,24.16032,96.17143
"Emmy JEZEQUEL - MT 2",Attaquante,"La Mans - RCL ",16,1758.85986,482.98001,178.56,53.21,14.21,6.99,4,6,5,1,27.0767,107.75347
"Blandine JOLY - MT 1",Gardienne,"La Mans - RCL ",50,2585.03198,122.35,42.28,8.13,0,0,3,3,0,0,20.314,51.56194
"Blandine JOLY - MT 2",Gardienne,"La Mans - RCL ",52,2354.97559,87.86,11.52,7.62,0,0,2,1,1,0,20.95153,45.04846
"Romane LEJEUNE - MT 1","Défenseur Central","La Mans - RCL ",50,4392.94385,1029.64001,284.84,105.77,35.78,2.78,3,6,9,3,25.32276,87.62317
"Romane LEJEUNE - MT 2","Défenseur Central","La Mans - RCL ",52,4187.6626,865.02002,256.37,106.21,62.41,11.25,11,11,10,4,25.79181,80.10602
"Jennifer LIMAGE - MT 1","Défenseur Central","La Mans - RCL ",50,4888.98242,1446.75,352.01001,167.86,17.62,0,7,18,14,1,24.42054,97.51733
"Jennifer LIMAGE - MT 2","Défenseur Central","La Mans - RCL ",52,4557.43604,1195.68005,382.70001,113.2,7.5,0,11,12,5,1,24.16471,87.17944
"Jennifer MEUNIER - MT 1",Piston,"La Mans - RCL ",50,5057.15137,1215.41003,488.06,200.09,48.24,18.72,13,20,19,3,26.18104,100.87168
"Jennifer MEUNIER - MT 2",Piston,"La Mans - RCL ",52,4486.94922,1009.08002,279.92999,104.12,22.67,0,12,16,10,2,24.79319,85.83109
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"La Mans - RCL ",50,5138.96143,1642.57996,465.66,163.94,25.52,15.49,4,13,12,3,28.19502,102.50349
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"La Mans - RCL ",36,3164.72559,797.32001,203.02,86.02,8.26,0,3,8,6,0,23.55365,88.02233
"Laurine PINOT - MT 1",Piston,"La Mans - RCL ",50,4572.0752,1142.77002,326.22,141.50999,10.96,0,4,11,11,0,23.46918,91.19619
"Laurine PINOT - MT 2",Piston,"La Mans - RCL ",52,4377.07227,869.53998,246.11,111.63,14.63,0,4,11,10,1,23.85831,83.72925
"Carla POLITO - MT 1",Sentinelle,"La Mans - RCL ",50,5293.82227,1834.17004,399.59,22.53,0,0,1,8,3,0,19.94759,105.5924
"Carla POLITO - MT 2",Sentinelle,"La Mans - RCL ",52,5021.49316,1743.93994,208.96001,28.9,0,0,4,3,3,0,21.27301,96.05641
"Fany PRONIEZ - MT 1",Piston,"La Mans - RCL ",50,5164.63965,1374.39001,392.26001,279.91,75.84,85.36,13,13,24,6,28.46908,103.01568
"Fany PRONIEZ - MT 2",Piston,"La Mans - RCL ",52,4700.63525,1157.73999,369.17001,189.89,74.75,40.18,12,20,19,7,27.14029,89.91871
