Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 1",Attaquante,"Auxerre - RCL",46,4714.43262,1233.66003,488.79999,174.25,25.82,0,2,11,14,1,23.77004,102.96931
"Madelynn ANDERSON - MT 2",Attaquante,"Auxerre - RCL",25,2939.60522,917.40997,305.07001,117.41,6.81,0,2,5,10,0,23.43554,119.65504
"Louann ARCHIER - MT 2",Attaquante,"Auxerre - RCL",21,2244.45239,538.29999,209.59,163.47,35.57,12.49,4,10,14,4,26.36419,107.97385
"Clara BERTRAND - MT 1",Sentinelle,"Auxerre - RCL",46,5745.79785,2002.85999,761.82001,207.48,1.81,0,11,14,16,0,23.16253,125.49566
"Clara BERTRAND - MT 2",Sentinelle,"Auxerre - RCL",19,2502.95508,994.33002,348.20001,60.28,11.77,8.93,4,5,4,1,25.63275,129.69015
"Tess DAVID - MT 1",Sentinelle,"Auxerre - RCL",46,5964.6582,2265.63989,823.98999,196.35001,40.99,6.91,6,13,15,4,25.59926,130.27585
"Tess DAVID - MT 2",Sentinelle,"Auxerre - RCL",31,3799.80078,1682.40002,438.48999,48.75,0,0,0,10,3,0,21.69964,122.40377
"Julia EVRARD - MT 2",Sentinelle,"Auxerre - RCL",26,2793.42651,1030.23999,189.59,3.17,0,0,1,7,0,0,19.46768,107.07501
"Aude GBEDJISSI - MT 1",Attaquante,"Auxerre - RCL",46,4941.24756,1174.69995,553.23999,246.74001,62.12,27.48,19,21,20,4,29.233,107.92324
"Aude GBEDJISSI - MT 2",Attaquante,"Auxerre - RCL",45,4889.68652,1194.88,601.70001,277.04001,42.17,0,10,18,24,3,23.90275,107.81119
"Sherly JEUDY - MT 2",Attaquante,"Auxerre - RCL",14,1591.6748,421.79999,129.63,43.92,0,0,2,5,5,0,22.6546,111.21908
"Blandine JOLY - MT 1",Gardienne,"Auxerre - RCL",46,2502.91504,197.28999,48.96,21.82,0,0,1,2,1,0,22.52237,54.6669
"Blandine JOLY - MT 2",Gardienne,"Auxerre - RCL",45,2405.49023,199.14,52.53,19.93,4.35,0,2,2,2,0,23.55123,53.03791
"Lara KAZANDJIAN - MT 2",Sentinelle,"Auxerre - RCL",14,1765.49634,700.48999,178,0,0,0,0,2,0,0,18.51512,123.36495
"Romane LEJEUNE - MT 1","Défenseur Central","Auxerre - RCL",46,4577.59912,1373.25,405.92001,156.16,52,29.93,7,8,12,5,27.02077,99.98069
"Romane LEJEUNE - MT 2","Défenseur Central","Auxerre - RCL",31,3059.7251,899.21002,286.12,114.84,30.04,24.21,3,6,10,3,26.17984,98.56356
"Jennifer LIMAGE - MT 1","Défenseur Central","Auxerre - RCL",46,5200.14746,1635.14001,565.39001,225.28,74.04,8.36,10,8,19,5,25.5327,113.57795
"Jennifer LIMAGE - MT 2","Défenseur Central","Auxerre - RCL",45,4872.13867,1563.46997,372.56,129.19,33.06,16.78,6,9,9,4,26.57088,107.42428
"Jennifer MEUNIER - MT 2",Piston,"Auxerre - RCL",14,1514.3927,455.29999,120.69,48.18,0,0,0,3,4,0,22.82301,105.81895
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"Auxerre - RCL",46,4878.83154,1310.66003,479.95001,199.38,74.89,23.9,6,12,18,6,26.40762,106.55999
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"Auxerre - RCL",31,3264.04346,705.82001,337.14999,283.35999,30.22,0,4,8,17,2,23.95253,105.14531
"Laurine PINOT - MT 1",Piston,"Auxerre - RCL",46,5030.57617,1396.14001,548.88,250.34,61.65,0,5,12,19,3,24.60392,109.87429
"Laurine PINOT - MT 2",Piston,"Auxerre - RCL",31,3146.96533,742.14001,419.92999,98.12,20.06,0,2,7,7,1,25.02153,101.37385
"Carla POLITO - MT 1",Sentinelle,"Auxerre - RCL",46,4936.87207,1546.17004,477.44,106.35,3.73,0,3,4,8,0,23.31671,107.82767
"Carla POLITO - MT 2",Sentinelle,"Auxerre - RCL",45,4551.14795,1345.47998,284.42001,93.32,21.06,1.97,1,3,7,2,25.27676,100.34685
"Fany PRONIEZ - MT 1",Piston,"Auxerre - RCL",46,5040.74805,1175.91003,553.28003,354.32001,66.36,17.43,9,21,25,7,26.69016,110.09646
"Fany PRONIEZ - MT 2",Piston,"Auxerre - RCL",45,5062.33252,1232.87,607.38,340,43.87,4.69,12,16,22,4,25.79301,111.6178
"Emma SMAALI - MT 2","Défenseur Central","Auxerre - RCL",14,1548.15186,450.45001,93.49,20.73,23.98,0,1,0,2,1,24.9113,108.17789
