Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Louann ARCHIER - MT 1",Attaquante,"RCL - Roubaix",55,5304.33301,1396.46997,540.59003,212.38,53.95,17.35,15,20,20,6,26.93589,96.45791
"Clara BERTRAND - MT 1",Sentinelle,"RCL - Roubaix",55,5445.70068,1413.92004,656.12,220.12,36.52,8.09,15,15,18,2,25.679,99.02864
"Clara BERTRAND - MT 2",Sentinelle,"RCL - Roubaix",56,5624.90234,1788.27002,590.41998,158.75,44.47,20.24,8,12,12,5,26.92731,100.6742
"Ambre BOUCHARD - MT 1",Gardienne,"RCL - Roubaix",55,2218.42725,129.99001,10.51,34.76,0,0,1,4,1,0,22.52923,40.34152
"Ambre BOUCHARD - MT 2",Gardienne,"RCL - Roubaix",56,2726.46777,228.61,68.5,14.88,10.44,0,2,2,2,1,24.37369,48.79817
"Tess DAVID - MT 2",Sentinelle,"RCL - Roubaix",56,5818.59619,1791.18994,786.46002,252.14,18.5,0,2,27,21,2,24.16759,104.14092
"Fatima EL GHAZOUANI - MT 1","Défenseur Central","RCL - Roubaix",55,4929.98633,1217.22998,505.35999,163.31,54.15,11.79,9,12,13,5,25.53277,89.65051
"Fatima EL GHAZOUANI - MT 2","Défenseur Central","RCL - Roubaix",13,1556.24036,463.47,132.00999,62.98,0,0,5,4,5,0,22.7095,117.9372
"Aude GBEDJISSI - MT 1",Attaquante,"RCL - Roubaix",49,3628.45386,680.81,171.10001,43.83,0,0,7,8,5,0,22.6463,73.74856
"Aude GBEDJISSI - MT 2",Attaquante,"RCL - Roubaix",56,4633.72559,1010.5,390.54999,114.3,17.92,5.48,9,15,12,1,26.02981,82.93417
"Sherly JEUDY - MT 1",Attaquante,"RCL - Roubaix",55,4712.38379,1336.91003,440.13,159.91,21.9,0,8,19,14,2,24.51704,85.69347
"Sherly JEUDY - MT 2",Attaquante,"RCL - Roubaix",56,4944.19971,1372.47998,422.31,127.72,24.85,0,6,18,10,2,24.53867,88.49102
"Romane LEJEUNE - MT 1","Défenseur Central","RCL - Roubaix",55,4319.05615,1076.65002,419.57001,137.48,12.2,0,7,17,13,1,24.64273,78.54091
"Romane LEJEUNE - MT 2","Défenseur Central","RCL - Roubaix",56,4552.3916,1117.83997,613.46002,172.25999,13.81,24.31,8,13,17,2,26.96877,81.47846
"Alizée MEREAU - MT 1",Attaquante,"RCL - Roubaix",3,361.30634,137.53999,46.57,14.63,14.5,0,1,1,1,1,25.18675,116.0575
"Jennifer MEUNIER - MT 1",Piston,"RCL - Roubaix",55,5203.90918,1393.41003,436.84,189.83,45.49,43.22,6,23,14,5,27.1817,94.63173
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"RCL - Roubaix",55,4854.14648,1313.65002,461.39001,94.73,24.48,0.53,5,11,8,3,25.19982,88.27139
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"RCL - Roubaix",56,4786.60352,1267.81006,496.87,144.59,20.39,0,9,7,12,1,24.6312,85.67037
"Laurine PINOT - MT 2",Piston,"RCL - Roubaix",56,5201.8125,1545.39001,464.57001,154.23,53.15,13.25,4,13,13,3,25.79525,93.10176
"Carla POLITO - MT 2",Sentinelle,"RCL - Roubaix",43,3773.0127,1155.68005,393.10001,86.85,4.13,11.85,7,12,8,1,26.67604,88.25348
"Fany PRONIEZ - MT 1",Piston,"RCL - Roubaix",55,4673.00879,1139.95996,339.42999,123.58,87.5,21.29,8,16,12,6,27.36605,84.97744
"Fany PRONIEZ - MT 2",Piston,"RCL - Roubaix",56,5286.83545,1566.93994,536.63,276.85999,58.76,18.94,14,16,21,5,27.10808,94.62349
"Emma SMAALI - MT 1","Défenseur Central","RCL - Roubaix",50,3981.15527,968.27002,353.60999,81.78,0,0,4,13,8,0,22.32356,80.39246
