Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Louann ARCHIER - MT 2",Attaquante,"RCS - RCL",46,4596.34766,1094.40002,592.54999,243.91,59.49,39.73,11,17,24,7,28.28991,99.04854
"Clara BERTRAND - MT 1",Sentinelle,"RCS - RCL",50,5844.24219,1917.14001,790.21997,166.98,18.79,20.67,11,18,14,2,27.45804,116.62981
"Clara BERTRAND - MT 2",Sentinelle,"RCS - RCL",25,2483.63257,855.46997,279.29999,87.81,10.57,21.54,5,7,8,1,26.59234,100.55735
"Kaina EL KOUMIR - MT 1",Attaquante,"RCS - RCL",50,5176.31641,1303.62,455.35001,231.39,42.6,32.83,9,14,19,4,26.66568,103.30044
"Kaina EL KOUMIR - MT 2",Attaquante,"RCS - RCL",10,707.22266,189.13,56.23,21.97,6.16,0,2,2,2,1,24.6965,72.68102
"Aude GBEDJISSI - MT 1",Attaquante,"RCS - RCL",50,5436.43262,1419.35999,660.14001,161.46001,31.72,29.4,11,7,18,4,27.93526,108.49142
"Aude GBEDJISSI - MT 2",Attaquante,"RCS - RCL",56,4978.65576,1148.14001,466.44,155.21001,16.57,4.64,13,13,13,2,25.74152,88.69023
"Sofia GUELLATI - MT 2","Défenseur Central","RCS - RCL",48,4137.57031,1139.53003,277.98001,74.76,0,0,3,6,9,0,22.7441,86.29197
"Sherly JEUDY - MT 2",Attaquante,"RCS - RCL",29,2806.56396,777.01001,252.78999,98.93,39.72,9.98,2,14,8,4,25.75054,95.17325
"Blandine JOLY - MT 1",Gardienne,"RCS - RCL",50,3005.19238,229.33,56.73,85.53,0,0,4,5,5,0,22.47397,59.97271
"Blandine JOLY - MT 2",Gardienne,"RCS - RCL",56,2945.7312,186.85001,27.8,10.01,0,0,3,2,1,0,20.6778,52.47553
"Romane LEJEUNE - MT 1","Défenseur Central","RCS - RCL",50,4385.30859,1141.81006,297.63,104.29,18.17,5.28,3,4,8,2,26.15588,87.51481
"Romane LEJEUNE - MT 2","Défenseur Central","RCS - RCL",5,523.94629,118.51,41.7,20.84,0,0,0,0,2,0,22.06059,111.11936
"Jennifer LIMAGE - MT 1","Défenseur Central","RCS - RCL",50,4869.91895,1272.72998,402.64999,205.28,47.25,53.28,7,15,19,6,27.84534,97.18587
"Jennifer LIMAGE - MT 2","Défenseur Central","RCS - RCL",56,4798.39404,1290.29004,390.17999,177.36,16.36,0,12,14,14,1,23.96957,85.47903
"Laureen OILLIC - MT 1","Défenseur Central","RCS - RCL",50,4620.39551,1065.05005,378.67001,122.46,9.54,0,6,14,10,1,23.49004,92.20629
"Laureen OILLIC - MT 2","Défenseur Central","RCS - RCL",56,4412.16064,969.69,304.66,128.86,16.75,6.28,4,12,9,1,25.37336,78.59864
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"RCS - RCL",50,5210.95215,1694.27002,458.69,226.89999,36.69,4.15,5,8,16,3,25.53026,103.99165
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"RCS - RCL",25,2121.07764,621.57001,235.52,78.39,4.27,0,1,3,6,0,23.51915,85.87822
"Laurine PINOT - MT 1","Défenseur Central","RCS - RCL",50,5479.43262,1528.06006,583.03998,204.39,20.65,2,3,7,16,2,25.46096,109.34954
"Carla POLITO - MT 2",Sentinelle,"RCS - RCL",29,3016.07861,1020.90997,245.37,63.44,0,0,2,7,6,0,22.76658,102.57259
"Fany PRONIEZ - MT 1",Piston,"RCS - RCL",50,5061.11621,959.34003,447.67999,191.53999,54.05,146.73,13,20,19,8,30.61746,101.00147
"Fany PRONIEZ - MT 2",Piston,"RCS - RCL",56,4796.64014,904.38,395.32001,175.38,79.24,78.86,10,17,19,8,29.48713,85.44779
"Manon REVELLI - MT 2",Piston,"RCS - RCL",56,5261.98145,1608.09998,578.91998,167.19,28.69,34.86,5,19,16,3,27.18243,93.73742
"Naomie VAGRE - MT 1",Attaquante,"RCS - RCL",50,5161.53906,1279.17004,609.01001,210.82001,45.04,5.94,4,11,15,2,25.97212,103.00554
"Naomie VAGRE - MT 2",Attaquante,"RCS - RCL",56,4810.97607,1113.88,392.07001,192.5,37.89,25.68,7,13,17,3,28.12499,85.70317
