Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 1",Attaquante,"PSV - RCL",49,5129.65967,1487.85999,392.57999,136.87,13.99,11.29,5,8,11,1,26.15253,104.47904
"Madelynn ANDERSON - MT 2",Attaquante,"PSV - RCL",40,3679.42285,855.5,324.89001,87.73,12.23,0,2,11,9,1,24.0349,92.04348
"Louann ARCHIER - MT 1",Attaquante,"PSV - RCL",49,5304.65723,1199.16003,609.03003,330.47,56.29,35.42,17,30,28,5,28.19078,108.04333
"Louann ARCHIER - MT 2",Attaquante,"PSV - RCL",48,4549.33301,851.03003,430.98999,237.5,72.9,65.36,14,18,24,9,28.45559,94.28507
"Clara BERTRAND - MT 1","Milieu Défensif","PSV - RCL",49,5851.5332,2166.63989,774.59003,105.2,20.11,0,9,17,8,1,24.35842,119.1819
"Clara BERTRAND - MT 2","Milieu Défensif","PSV - RCL",43,4642.2959,1606.66003,428.95001,63.01,0,0,6,14,5,0,22.97354,109.16713
"Tess DAVID - MT 1","Milieu Défensif","PSV - RCL",49,5434.67529,1885.67004,483.59,130.38,33.73,0,6,17,11,2,24.60291,110.69149
"Tess DAVID - MT 2","Milieu Défensif","PSV - RCL",16,1962.3645,684.67999,149.48,43.59,19.87,0,0,6,4,1,24.58223,119.00932
"Fatima EL GHAZOUANI - MT 2","Défenseur Central","PSV - RCL",9,1013.06335,248.31,145.34,119.45,15.49,0,2,4,9,1,24.16173,113.64007
"Kaina EL KOUMIR - MT 1",Attaquante,"PSV - RCL",49,5253.7749,1495.13,359.26999,160.45,56.53,12.34,5,10,12,3,26.43202,107.00697
"Kaina EL KOUMIR - MT 2",Attaquante,"PSV - RCL",48,4704.46484,1196.68994,253.78,216.77,43.55,19.25,4,4,18,4,26.33963,97.50018
"Sherly JEUDY - MT 1",Attaquante,"PSV - RCL",49,4925.68311,1488.92004,415.45001,94.18,62.48,53.38,3,10,9,6,27.81237,100.32452
"Sherly JEUDY - MT 2",Attaquante,"PSV - RCL",32,2800.76587,772.66998,162.53999,42.95,5.03,0,1,6,3,0,23.57564,88.85679
"Blandine JOLY - MT 1",Gardienne,"PSV - RCL",49,2628.0813,142.24001,28.68,9.68,0,0,2,4,1,0,21.78932,53.5278
"Blandine JOLY - MT 2",Gardienne,"PSV - RCL",48,2181.1145,121.66,30.51,6.66,0,0,2,0,1,0,21.96624,45.20366
"Romane LEJEUNE - MT 2","Défenseur Central","PSV - RCL",16,1482.3429,322.07001,199.62,32.36,1.83,0,1,5,2,0,23.0856,90.12207
"Jennifer LIMAGE - MT 2","Défenseur Central","PSV - RCL",9,936.8811,202.11,102.42,83.69,15.22,6.91,0,3,4,1,25.61137,103.93046
"Alizée MEREAU - MT 1",Attaquante,"PSV - RCL",49,4938.20117,1089.06006,375.07001,171.41,45.93,53.77,4,11,15,5,28.25458,100.57948
"Alizée MEREAU - MT 2",Attaquante,"PSV - RCL",39,3729.60278,759.04999,294.60001,147.64,59.34,21.34,3,14,11,5,26.72067,94.56876
"Lizzy MILLEQUANT - MT 2","Défenseur Central","PSV - RCL",24,1953.69141,551.09998,105.59,28.27,11.8,0,2,3,4,1,24.10552,82.87074
"Laureen OILLIC - MT 2","Défenseur Central","PSV - RCL",26,2693.89209,733.90002,264.79001,92.09,20.51,7.46,6,4,8,3,26.34009,105.52627
"Dayana PIERRE LOUIS - MT 2","Milieu Défensif","PSV - RCL",48,3760.18921,1015.98999,280.37,48.76,0,0,7,7,4,0,22.50102,77.93004
"Carla POLITO - MT 1","Milieu Défensif","PSV - RCL",49,4964.35645,1601.39001,347.94,115.08,3.02,0,1,5,9,0,23.37107,101.1122
"Carla POLITO - MT 2","Milieu Défensif","PSV - RCL",29,3057.20386,905.66998,190.27,43.76,7.28,11.28,1,3,3,1,26.1593,104.24122
"Emma SMAALI - MT 1","Défenseur Central","PSV - RCL",49,4416.24023,1155.18005,326.73001,86.19,9.16,12.06,2,6,7,1,26.2187,89.94837
"Emma SMAALI - MT 2","Défenseur Central","PSV - RCL",48,4259.89453,1007.96997,307.12,85.75,0,0,2,5,7,0,22.42561,88.28644
"Naomie VAGRE - MT 1",Piston,"PSV - RCL",49,5369.2832,1616.94995,478.17999,91.88,7.35,0,4,8,6,0,23.73399,109.3596
"Naomie VAGRE - MT 2",Piston,"PSV - RCL",23,2489.07373,648.87,189.66,88.75,34.2,0,3,6,7,2,24.8745,107.29074
