Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 1",Attaquante,"RCL - U19 PSG",15,1770.94629,495.94,186.02,101.75,23.47,0,1,5,10,1,24.82181,117.6891
"Madelynn ANDERSON - MT 2",Attaquante,"RCL - U19 PSG",46,5658.90527,1870.05005,651.32001,151.64999,15.31,0,2,13,11,1,24.27532,122.86565
"Louann ARCHIER - MT 1",Attaquante,"RCL - U19 PSG",27,3644.26489,1091.95996,549.65997,203.12,60.51,19.02,7,12,16,5,28.23668,133.52624
"Clara BERTRAND - MT 2",Sentinelle,"RCL - U19 PSG",37,5096.09131,1927.30005,772.15002,223.53999,20.58,0,13,16,15,3,24.41386,138.38861
"Tess DAVID - MT 1",Sentinelle,"RCL - U19 PSG",48,5984.70068,2029.96997,970.79999,306.14001,21.24,15.96,2,10,21,2,26.95132,124.49409
"Tess DAVID - MT 2",Sentinelle,"RCL - U19 PSG",10,1350.40723,495.76999,219.59,81.58,7.06,0,0,6,6,1,23.33062,137.16681
"Fatima EL GHAZOUANI - MT 1","Défenseur Central","RCL - U19 PSG",48,5362.1709,1471.81995,553.84998,307.26999,61.94,8.49,4,9,24,5,25.77687,111.54419
"Fatima EL GHAZOUANI - MT 2","Défenseur Central","RCL - U19 PSG",46,5196.20703,1406.31006,463.79999,268.51999,47.7,0,4,10,19,1,24.56978,112.81959
"Aude GBEDJISSI - MT 1",Attaquante,"RCL - U19 PSG",48,5183.2085,1088.32996,532.83002,327.98001,97.43,112.57,15,16,29,8,30.12505,107.8214
"Aude GBEDJISSI - MT 2",Attaquante,"RCL - U19 PSG",10,1124.09302,300.10999,106.78,60.73,15.55,8.3,2,4,5,2,26.48923,117.09099
"Blandine JOLY - MT 1",Gardienne,"RCL - U19 PSG",48,2606.0791,207.64,49.83,1.9,0,0,0,2,0,0,19.35796,54.21181
"Blandine JOLY - MT 2",Gardienne,"RCL - U19 PSG",46,2368.70239,170.00999,45.33,13.47,0,0,4,5,1,0,19.83604,51.42906
"Romane LEJEUNE - MT 1","Défenseur Central","RCL - U19 PSG",48,5492.15625,1750.79004,527.53003,139.83,23.98,0,8,12,14,2,24.73763,114.24815
"Romane LEJEUNE - MT 2","Défenseur Central","RCL - U19 PSG",19,2444.61304,883.29999,260.62,65.36,10.01,7.11,2,2,7,1,25.74086,127.89423
"Jennifer LIMAGE - MT 1","Défenseur Central","RCL - U19 PSG",48,5374.24316,1869.15002,531.60999,174.97,37.97,3.9,8,12,17,3,25.74345,111.79532
"Jennifer LIMAGE - MT 2","Défenseur Central","RCL - U19 PSG",46,5219.21045,1852.57996,487.39001,102.25,20.39,8.96,6,13,11,2,25.8849,113.31904
"Laureen OILLIC - MT 2","Défenseur Central","RCL - U19 PSG",10,1605.05286,513.65997,379.01001,126.87,6.96,0,0,2,10,1,23.27821,155.80768
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"RCL - U19 PSG",48,5239.17676,1356,640.42999,340.67999,81.92,35.3,9,14,22,6,27.15097,108.98566
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"RCL - U19 PSG",36,4231.27734,1226.92004,565.44,202.89999,11.53,0,5,3,18,0,23.52345,116.70021
"Laurine PINOT - MT 1",Piston,"RCL - U19 PSG",48,5107.7373,1635.05005,432.69,92.91,32.07,0,3,5,5,2,25.1918,106.25145
"Laurine PINOT - MT 2",Piston,"RCL - U19 PSG",46,5240.68604,1766.90002,364.32999,150.21001,42.63,10.24,5,8,12,3,25.9116,113.78531
"Carla POLITO - MT 1",Sentinelle,"RCL - U19 PSG",48,5675.66797,2134.3999,565.70001,72.54,0,0,3,10,7,0,21.01779,118.06557
"Carla POLITO - MT 2",Sentinelle,"RCL - U19 PSG",46,5886.00781,2455.09009,522.15002,88.02,0,0,2,6,5,0,21.92106,127.79648
"Fany PRONIEZ - MT 1",Piston,"RCL - U19 PSG",48,5201.91162,1230.73999,610.35999,324.03,48.71,58.74,8,22,27,6,28.64252,108.21047
"Fany PRONIEZ - MT 2",Piston,"RCL - U19 PSG",46,4923.771,1123.56995,468.67001,230.17999,48.78,40.02,8,15,16,6,27.63197,106.90448
"Emma SMAALI - MT 2","Défenseur Central","RCL - U19 PSG",28,3246.83032,1008.16998,378.79999,192.69,0,0,2,7,11,0,22.12924,117.96075
"Naomie VAGRE - MT 2",Piston,"RCL - U19 PSG",37,4471.25098,1497.07996,481.66,93.49,18.08,0,5,13,9,1,25.02365,120.81795
