Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Louann ARCHIER - MT 2",Attaquante,"RCL - Metz",34,3987.9187,1153.68005,497.73999,184.42999,79.45,39.05,7,6,15,8,27.55964,115.83022
"Clara BERTRAND - MT 1",Sentinelle,"RCL - Metz",46,5320.59912,1537.37,699.09998,179.00999,36.13,23.84,12,10,14,2,27.5927,116.32395
"Clara BERTRAND - MT 2",Sentinelle,"RCL - Metz",15,1625.86877,471.22,217.33,49.57,1.93,0,1,4,4,0,23.08448,110.36807
"Ambre BOUCHARD - MT 2",Gardienne,"RCL - Metz",34,1483.0083,175.84,18.95,0,0,0,1,0,0,0,18.82754,43.45409
"Tess DAVID - MT 2",Sentinelle,"RCL - Metz",35,4151.66406,1609.35999,511.23001,115.9,23.32,27.26,4,8,7,2,27.12615,119.87827
"Fatima EL GHAZOUANI - MT 2","Défenseur Central","RCL - Metz",34,3529.18213,942.12,363.48001,106.45,29.72,4.04,4,4,8,2,25.65114,103.10654
"Kaina EL KOUMIR - MT 1",Attaquante,"RCL - Metz",46,4812.84277,1377.12,453.73001,106.2,14.39,0,7,11,10,1,24.60807,105.2229
"Kaina EL KOUMIR - MT 2",Attaquante,"RCL - Metz",15,1565.13538,379.82999,153.37,39.31,0,0,3,2,4,0,21.90173,105.29115
"Julia EVRARD - MT 2",Sentinelle,"RCL - Metz",34,3720.22559,1130.08997,443.42001,113.71,22.45,4.84,7,19,12,1,26.05266,109.00748
"Aude GBEDJISSI - MT 1",Attaquante,"RCL - Metz",46,4879.77588,977.04999,682.58002,220.89999,30.24,19.62,16,11,14,4,28.01105,106.68625
"Aude GBEDJISSI - MT 2",Attaquante,"RCL - Metz",15,1665.41272,433.85001,168.02,81.41,35.85,48.06,2,3,7,3,27.62956,112.86598
"Sherly JEUDY - MT 2",Attaquante,"RCL - Metz",34,3506.48853,885.34003,310.03,243.39999,55.17,0.74,6,13,15,4,25.20454,102.5429
"Emmy JEZEQUEL - MT 1","Défenseur Central","RCL - Metz",46,4820.91797,1569.33997,300.45999,150.31,13.45,0,1,6,12,1,25.13479,105.39945
"Emmy JEZEQUEL - MT 2","Défenseur Central","RCL - Metz",15,1537.61963,416.84,174.3,66.64,8.84,0,2,6,4,1,23.44466,103.6714
"Blandine JOLY - MT 1",Gardienne,"RCL - Metz",46,2528.04419,303.82999,33.21,8.24,0,0,2,2,1,0,20.06542,55.27048
"Blandine JOLY - MT 2",Gardienne,"RCL - Metz",15,854.79572,79.84,10.19,0,0,0,0,0,0,0,15.79457,55.38633
"Lara KAZANDJIAN - MT 2",Sentinelle,"RCL - Metz",34,3722.40405,993.48999,458.29999,191.03,0.64,0,5,8,12,0,23.03851,108.85708
"Romane LEJEUNE - MT 1","Défenseur Central","RCL - Metz",46,4406.25635,1384.09998,280.66,106.53,22.11,0,4,4,9,2,24.64421,96.33372
"Romane LEJEUNE - MT 2","Défenseur Central","RCL - Metz",14,1474.26404,383.82999,152.38,82.19,17.56,11.19,1,5,7,2,26.36465,102.18194
"Jennifer LIMAGE - MT 2","Défenseur Central","RCL - Metz",34,3526.37964,1008.95001,213.25999,144.98,46.84,20.72,6,10,10,4,28.88098,102.79642
"Laureen OILLIC - MT 1",Piston,"RCL - Metz",46,4604.22949,1237.06006,338.34,167.8,34.72,8.56,2,3,13,2,26.50156,100.662
"Laureen OILLIC - MT 2",Piston,"RCL - Metz",15,1498.927,409.47,138.45,26.09,27.44,4.69,0,8,3,2,25.76212,102.44754
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"RCL - Metz",46,4591.29004,1471.96997,404.20999,84.96,0,0,4,8,7,0,22.77546,100.3791
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"RCL - Metz",15,1596.53674,560.91998,138.25,6.95,0,0,1,2,1,0,21.65607,108.37693
"Laurine PINOT - MT 2","Défenseur Central","RCL - Metz",34,3450.6543,814.77002,295.73999,159.38,24.76,40.78,4,6,13,3,27.73791,101.23377
"Carla POLITO - MT 2",Sentinelle,"RCL - Metz",34,3690.33081,1241.93005,399.07999,70.47,0,0,3,3,5,0,22.10317,107.81456
"Fany PRONIEZ - MT 1",Piston,"RCL - Metz",46,4664.25586,1149.26001,346.09,199.67,55.4,48.42,7,15,18,5,27.98041,101.97435
"Fany PRONIEZ - MT 2",Piston,"RCL - Metz",15,1502.94495,365.04001,105.43,59.76,18.97,44.88,2,2,4,2,28.8643,103.38637
"Manon REVELLI - MT 1",Piston,"RCL - Metz",46,4581.06738,1289.97998,554.92999,246.39999,28.17,9.9,5,12,19,3,26.44375,100.15561
"Manon REVELLI - MT 2",Piston,"RCL - Metz",15,1708.97607,545.92999,189.66,88.3,27.41,3.36,2,7,7,1,25.72325,114.96773
"Emma SMAALI - MT 2","Défenseur Central","RCL - Metz",34,3287.06592,780.59003,212.34,207.50999,21.43,0,0,3,11,1,24.29934,95.47376
"Naomie VAGRE - MT 1",Attaquante,"RCL - Metz",46,4850.99658,1198.56995,491.09,176.59,32.97,10.65,6,7,12,3,25.97769,106.05705
"Naomie VAGRE - MT 2",Attaquante,"RCL - Metz",15,1537.3623,447.98001,120.33,19.88,9.96,3.43,0,3,2,1,25.41292,103.65405
