Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 1",Gardienne,"Fleury - RCL",47,1809.02588,90.67,13.86,4.22,0,0,4,1,0,0,19.94203,38.49005
"Madelynn ANDERSON - MT 2",Gardienne,"Fleury - RCL",51,2167.68408,189.56,6.66,0,0,0,3,3,0,0,16.89032,42.3413
"Tess DAVID - MT 1",Sentinelle,"Fleury - RCL",47,5745.39844,2234.29004,716.73999,105.95,8.94,0,3,22,8,1,23.77322,122.24295
"Tess DAVID - MT 2",Sentinelle,"Fleury - RCL",32,3455.88232,1347.65002,421.73999,86.41,6.42,0,1,9,6,1,23.43765,109.67689
"Kaina EL KOUMIR - MT 1",Attaquante,"Fleury - RCL",47,5019.50537,1154.81006,456.13,170.85001,59.38,37.13,7,20,16,5,27.35084,106.79837
"Kaina EL KOUMIR - MT 2",Attaquante,"Fleury - RCL",51,5333.9292,1489.20996,467.78,206.33,73.24,36.28,11,13,18,6,26.28535,104.18746
"Aude GBEDJISSI - MT 1",Attaquante,"Fleury - RCL",0,0,0,0,0,0,0,0,0,0,0,0.13605,0
"Aude GBEDJISSI - MT 2",Attaquante,"Fleury - RCL",43,4413.76953,1095.08997,462.69,165.09,44.23,28.78,14,13,13,4,27.75195,102.43775
"Sofia GUELLATI - MT 1","Défenseur Central","Fleury - RCL",47,4569.03906,1061.40002,322.94,75,15.63,0,5,7,7,1,24.01358,97.21394
"Sofia GUELLATI - MT 2","Défenseur Central","Fleury - RCL",26,2282.35474,591.53003,162.14,86.6,0,0,2,4,8,0,22.13937,87.78794
"Sherly JEUDY - MT 1",Attaquante,"Fleury - RCL",47,5410.04199,1869.04004,494.12,231.91,25.04,0,8,21,18,2,24.44936,115.10768
"Sherly JEUDY - MT 2",Attaquante,"Fleury - RCL",10,1172.44531,352.60999,147.19,50.16,0,0,0,3,4,0,22.67986,121.26445
"Emmy JEZEQUEL - MT 1","Défenseur Central","Fleury - RCL",0,0,0,0,0,0,0,0,0,0,0,0.19677,0
"Emmy JEZEQUEL - MT 2","Défenseur Central","Fleury - RCL",27,2656.12939,815.09003,253.39,82.69,14.76,5.57,0,5,5,1,25.62304,99.26734
"Blandine JOLY - MT 1",Gardienne,"Fleury - RCL",0,0,0,0,0,0,0,0,0,0,0,0.20259,0
"Blandine JOLY - MT 2",Gardienne,"Fleury - RCL",2,2.96191,0,0,0,0,0,0,0,0,0,3.03892,1.89846
"Romane LEJEUNE - MT 1","Défenseur Central","Fleury - RCL",47,4172.0293,1019.40002,262.92001,70.65,6.55,15.65,4,9,5,1,28.44844,88.7669
"Romane LEJEUNE - MT 2","Défenseur Central","Fleury - RCL",51,4359.38232,1170.93005,351.45001,133.32001,37.43,50.12,5,10,11,5,28.83915,85.15167
"Jennifer MEUNIER - MT 1",Piston,"Fleury - RCL",0,0,0,0,0,0,0,0,0,0,0,0,0
"Jennifer MEUNIER - MT 2",Piston,"Fleury - RCL",2,140.43839,100.85,0,0,0,0,0,0,0,0,11.74221,90.01499
"Laureen OILLIC - MT 1","Défenseur Central","Fleury - RCL",47,5351.7041,1581.48999,396.07999,209.56,53.93,58.51,2,11,15,7,26.99824,113.86645
"Laureen OILLIC - MT 2","Défenseur Central","Fleury - RCL",51,4683.21191,1215.93994,287.88,210.78,56.31,38.13,4,13,17,5,27.53048,91.47702
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"Fleury - RCL",47,5120.26563,1758.34998,367.14001,93.39,6.38,4.04,3,12,8,1,25.48805,108.94221
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"Fleury - RCL",51,4961.9624,1561.14001,407.03,105.58,62.15,1.34,3,10,10,4,25.28112,96.92185
"Laurine PINOT - MT 1","Défenseur Central","Fleury - RCL",0,0.48804,0,0,0,0,0,0,0,0,0,0.84104,1.01569
"Laurine PINOT - MT 2","Défenseur Central","Fleury - RCL",24,2356.44604,565.06,213.28,60.81,26.63,14.85,2,4,5,2,26.21129,98.19957
"Carla POLITO - MT 1",Sentinelle,"Fleury - RCL",0,0,0,0,0,0,0,0,0,0,0,0,0
"Carla POLITO - MT 2",Sentinelle,"Fleury - RCL",21,2401.14819,795.92004,308.39001,50.43,4.99,0,5,6,4,0,23.29293,113.01471
"Fany PRONIEZ - MT 1",Piston,"Fleury - RCL",0,0,0,0,0,0,0,0,0,0,0,0.14814,0
"Fany PRONIEZ - MT 2",Piston,"Fleury - RCL",43,4362.27686,1181.91003,402.14999,222,59.75,74.82,9,13,22,9,29.28719,101.24267
"Manon REVELLI - MT 1",Piston,"Fleury - RCL",47,5317.87305,1673.09998,599.88,230.73,46.93,20.22,8,25,19,4,25.94317,113.14664
"Manon REVELLI - MT 2",Piston,"Fleury - RCL",32,3302.29883,957.42999,514.92999,165.12,18.71,0,3,17,12,2,23.65803,104.80272
"Emma SMAALI - MT 1","Défenseur Central","Fleury - RCL",47,4549.4082,976.77002,231.87,106.12,15.96,0,2,7,7,1,25.09396,96.79626
"Emma SMAALI - MT 2","Défenseur Central","Fleury - RCL",10,1049.34302,253.31,110.17,31.92,0,0,1,1,2,0,21.35061,108.53214
"Naomie VAGRE - MT 1",Attaquante,"Fleury - RCL",47,5052.02637,1297.32996,450.92999,167.62,55.6,54.54,8,24,16,5,27.6618,107.4903
"Naomie VAGRE - MT 2",Attaquante,"Fleury - RCL",51,5163.90039,1397.82996,567.17999,272.89999,93.32,12.71,4,16,24,8,26.56666,100.86629
