Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 2",Attaquante,"RCL - Saint Malo",9,904.91992,244.96001,150.05,14.86,0,0,4,1,1,0,21.56768,102.05864
"Clara BERTRAND - MT 2",Sentinelle,"RCL - Saint Malo",8,947.73901,298.95999,92.3,33.7,14.23,0,1,3,3,1,24.47066,113.43149
"Fatima EL GHAZOUANI - MT 1","Défenseur Central","RCL - Saint Malo",48,5118.30469,1303.63,509.07001,206.33,47.53,59.54,7,9,16,6,27.35246,107.62124
"Fatima EL GHAZOUANI - MT 2","Défenseur Central","RCL - Saint Malo",47,4984.88281,1239.84998,509.82999,243.77,36.45,0,6,7,20,1,24.62093,105.53665
"Aude GBEDJISSI - MT 1",Attaquante,"RCL - Saint Malo",48,4750.89941,1171.62,367.85999,149.75,37.39,34.79,9,14,10,3,28.93854,99.89591
"Aude GBEDJISSI - MT 2",Attaquante,"RCL - Saint Malo",47,4400.33008,892.04999,321.29999,130.75999,11.93,0,7,19,10,1,23.57534,93.16088
"Sherly JEUDY - MT 1",Attaquante,"RCL - Saint Malo",48,5117.2959,1204.26001,623.02002,279.34,66.29,47.21,9,30,21,5,27.05671,107.60003
"Sherly JEUDY - MT 2",Attaquante,"RCL - Saint Malo",47,4727.14795,1249.93005,493.67001,150.21001,5.75,0,9,26,10,0,23.28647,100.08005
"Blandine JOLY - MT 1",Gardienne,"RCL - Saint Malo",48,2532.72632,264.98001,125.89,5.77,0,0,4,4,1,0,21.46003,53.25497
"Blandine JOLY - MT 2",Gardienne,"RCL - Saint Malo",47,2822.36523,349.04999,140.42999,41.88,0,0,4,7,2,0,21.67891,59.75325
"Jennifer LIMAGE - MT 1","Défenseur Central","RCL - Saint Malo",48,4859.0918,1233.81995,454.62,167,78.19,49.69,13,19,16,5,26.79254,102.17084
"Jennifer LIMAGE - MT 2","Défenseur Central","RCL - Saint Malo",47,4663.5791,1249.08997,416.87,156.38,50.34,0,9,14,14,4,25.10341,98.73422
"Alizée MEREAU - MT 1",Attaquante,"RCL - Saint Malo",48,5229.02734,1448.63,493.28,162.57001,44.32,17.37,6,21,12,5,28.31954,109.94937
"Alizée MEREAU - MT 2",Attaquante,"RCL - Saint Malo",38,3944.77686,950.46002,355.53,145.74001,24.26,22.14,6,16,13,2,27.6605,102.96542
"Jennifer MEUNIER - MT 1",Piston,"RCL - Saint Malo",48,5530.31348,1464.23999,656.28998,414.82999,70.28,20.34,9,21,32,5,26.21767,116.28444
"Jennifer MEUNIER - MT 2",Piston,"RCL - Saint Malo",47,5108.24414,1382.19995,549.84003,199.05,35.57,15,7,13,19,4,26.50939,108.14837
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"RCL - Saint Malo",48,5331.59082,1580.97998,614.34998,177.33,3.21,0,6,13,14,0,23.22218,112.10595
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"RCL - Saint Malo",39,3892.18604,965.72998,312.13,180.36,25.56,3.86,10,13,12,2,25.66167,100.19485
"Laurine PINOT - MT 1",Piston,"RCL - Saint Malo",48,5533.02441,1671.16003,747.21002,241.74001,6.98,0,7,10,20,1,23.73308,116.34144
"Laurine PINOT - MT 2",Piston,"RCL - Saint Malo",47,5068.29004,1441.71997,590.28003,211.28999,0,0,6,15,15,0,22.73787,107.30249
"Carla POLITO - MT 1",Sentinelle,"RCL - Saint Malo",48,5590.90186,2080.78003,392.04001,111.84,2.51,0,2,7,5,0,23.15743,117.55841
"Carla POLITO - MT 2",Sentinelle,"RCL - Saint Malo",47,5147.57813,1658.81006,336.73001,88.87,7.83,0,4,13,5,0,25.08831,108.98112
"Emma SMAALI - MT 1","Défenseur Central","RCL - Saint Malo",48,4752.93359,1399.69995,305.73001,110.23,23.32,0,1,7,7,2,23.72962,99.93868
"Emma SMAALI - MT 2","Défenseur Central","RCL - Saint Malo",47,4491.65625,1137.68994,368.47,140.8,0,0,4,5,10,0,22.76876,95.09438
