Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Louann ARCHIER - MT 1",Attaquante,"Fleury - RCL",48,5700.69482,1557.68994,665.09003,353.20999,167.48,146.87,12,17,29,15,28.79865,118.60099
"Louann ARCHIER - MT 2",Attaquante,"Fleury - RCL",50,6037.40967,1932.03003,637.39001,285.91,40.87,73.3,5,15,26,5,29.19193,120.66132
"Clara BERTRAND - MT 1",Sentinelle,"Fleury - RCL",48,5622.39551,1826.72998,712.58002,311.26001,21.99,0,5,13,24,2,23.9641,116.972
"Clara BERTRAND - MT 2",Sentinelle,"Fleury - RCL",18,2246.03418,759.03003,319.66,78.93,0,0,2,6,5,0,22.67053,124.41105
"Tess DAVID - MT 1",Sentinelle,"Fleury - RCL",48,5972.05225,2110.1499,794.83002,360.92999,107.19,0,2,20,19,5,25.1096,124.24648
"Tess DAVID - MT 2",Sentinelle,"Fleury - RCL",26,3281.23999,1085.81995,504.94,174.78,16.83,0,6,10,13,1,24.6062,124.84742
"Kaina EL KOUMIR - MT 2",Attaquante,"Fleury - RCL",32,3318.57764,1048.20996,296.91,117.27,34.3,6.05,3,11,11,2,25.95887,103.76067
"Sofia GUELLATI - MT 2","Défenseur Central","Fleury - RCL",24,2472.66699,653.22998,206.06,56.51,30.07,0,2,5,6,2,25.02506,104.09403
"Sherly JEUDY - MT 1",Attaquante,"Fleury - RCL",48,5132.89258,1556.76001,605.21997,235.84,33.76,37.49,5,14,13,3,26.94646,106.78806
"Sherly JEUDY - MT 2",Attaquante,"Fleury - RCL",50,5465.24609,1730.33997,565.06,276.35001,11.44,0,4,12,19,1,23.45912,109.22628
"Blandine JOLY - MT 1",Gardienne,"Fleury - RCL",48,2797.15112,206.47,38.05,0,0,0,0,0,0,0,17.51327,58.19376
"Blandine JOLY - MT 2",Gardienne,"Fleury - RCL",50,2578.25806,201.24001,30.34,0,0,0,1,4,0,0,19.02141,51.52806
"Romane LEJEUNE - MT 1","Défenseur Central","Fleury - RCL",48,4621.35889,1130.25,359.14001,161.46001,63.97,28.23,2,7,12,5,28.28001,96.14578
"Romane LEJEUNE - MT 2","Défenseur Central","Fleury - RCL",50,4682.12305,1174.65002,367.82999,155.87,44.25,20.3,6,11,12,5,25.89915,93.57509
"Jennifer LIMAGE - MT 1","Défenseur Central","Fleury - RCL",48,5231.78174,1592.87,573.25,218.09,99.14,8.46,8,15,17,6,26.20272,108.84541
"Jennifer LIMAGE - MT 2","Défenseur Central","Fleury - RCL",26,3012.70996,872.12,319.54001,157.31,38.43,16.74,7,15,13,3,25.84902,114.63016
"Laureen OILLIC - MT 1","Défenseur Central","Fleury - RCL",20,1847.57629,456.92001,152.47,43.08,23.48,26.55,1,3,4,2,27.44249,90.8071
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"Fleury - RCL",32,2846.95337,661.88,145.83,74.87,14.9,0,3,11,7,2,24.00007,89.01458
"Carla POLITO - MT 2",Sentinelle,"Fleury - RCL",24,2741.91968,917.90002,279.14999,50.36,17.17,0,6,2,4,1,24.75442,115.429
"Fany PRONIEZ - MT 1",Piston,"Fleury - RCL",48,4919.32373,1250.14001,577.03998,323.72,111.15,58.31,7,17,25,10,27.15428,102.34483
"Fany PRONIEZ - MT 2",Piston,"Fleury - RCL",18,2103.0376,578.34003,212.88,103.65,20.51,50.42,3,6,6,2,29.04613,116.49027
"Manon REVELLI - MT 1",Piston,"Fleury - RCL",27,3122.65698,742.78003,506.26001,338.64999,22.41,0,4,8,22,1,23.73388,114.55438
"Manon REVELLI - MT 2",Piston,"Fleury - RCL",50,5679.50146,1767.85999,866.59003,351.91,61.15,30.11,3,16,27,5,27.68899,113.5083
"Emma SMAALI - MT 1","Défenseur Central","Fleury - RCL",48,4889.49463,1392.52002,510.70999,232.72,37.69,0,2,4,16,2,23.65081,101.72425
"Emma SMAALI - MT 2","Défenseur Central","Fleury - RCL",50,4862.71338,1282.70996,437.92999,79.2,2.4,0,3,5,4,0,23.10929,97.18429
"Naomie VAGRE - MT 1",Attaquante,"Fleury - RCL",48,4985.96729,1411.70996,618.72998,258.16,53.49,26.36,7,17,19,5,28.25473,103.73133
"Naomie VAGRE - MT 2",Attaquante,"Fleury - RCL",50,5008.67285,1282.66003,483.01001,165.96001,54.7,20.98,8,16,16,7,26.43708,100.10138
