Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 2",Attaquante,"Fleury - RCL",31,2853.78076,692.65002,236.95,92.5,5.59,0,2,6,7,0,23.79945,91.66957
"Louann ARCHIER - MT 1",Attaquante,"Fleury - RCL",48,5147.65283,1203.05005,523.23999,351.5,72.15,4.15,10,18,26,4,25.47802,107.72641
"Louann ARCHIER - MT 2",Attaquante,"Fleury - RCL",16,1996.3302,504.26001,175.61,156.35001,80.23,68.49,2,6,13,6,27.91635,123.45634
"Clara BERTRAND - MT 2","Milieu Défensif","Fleury - RCL",47,5365.4209,1627.78003,844.53998,165.05,0,0,4,6,11,0,21.94506,113.58513
"Ambre BOUCHARD - MT 2",Gardienne,"Fleury - RCL",31,1478.67322,147.92,16.25,0,0,0,2,2,0,0,18.1606,47.72916
"Tess DAVID - MT 1","Milieu Défensif","Fleury - RCL",48,5359.14697,1962.93994,454.03,134.57001,42.47,27.46,8,12,11,4,26.13287,112.15241
"Kaina EL KOUMIR - MT 2",Attaquante,"Fleury - RCL",28,2712.1167,676.84998,303.64999,116.39,14.93,0,4,4,9,2,24.20988,97.653
"Aude GBEDJISSI - MT 1",Attaquante,"Fleury - RCL",48,4872.52539,1301.96997,425.73001,133.25999,63.92,17.99,10,13,12,7,29.0155,101.96874
"Aude GBEDJISSI - MT 2",Attaquante,"Fleury - RCL",27,2893.25342,765.28003,250.11,119.52,48.68,30.57,7,12,9,4,28.8192,106.52496
"Sherly JEUDY - MT 1",Attaquante,"Fleury - RCL",48,4469.23633,1060.59998,331.72,165.5,46.96,9.17,7,6,14,5,26.26696,93.529
"Sherly JEUDY - MT 2",Attaquante,"Fleury - RCL",47,4049.17236,967.65002,296.89999,127.52,17.86,7.06,2,3,11,1,25.742,85.72035
"Blandine JOLY - MT 1",Gardienne,"Fleury - RCL",48,2465.99219,165.7,27.59,1.87,0,0,1,2,0,0,19.4579,51.60653
"Blandine JOLY - MT 2",Gardienne,"Fleury - RCL",17,1038.24731,85.72,8.14,5.12,0,0,1,1,1,0,20.46707,60.96042
"Lara KAZANDJIAN - MT 2","Milieu Défensif","Fleury - RCL",22,2237.68628,598.58002,403.56,72.18,0,0,2,5,5,0,21.32195,103.45211
"Alizée MEREAU - MT 1",Attaquante,"Fleury - RCL",48,5007.21191,1293.41003,406.28,215.28,30.5,0,6,8,18,2,25.16285,104.78737
"Alizée MEREAU - MT 2",Attaquante,"Fleury - RCL",20,2376.36499,725.28998,183.38,94.91,18.05,15.25,1,4,7,2,27.19883,117.04117
"Lizzy MILLEQUANT - MT 2","Défenseur Central","Fleury - RCL",21,1788.66174,347.94,170.58,60.06,21.19,9.65,1,4,5,2,26.22973,86.42409
"Dayana PIERRE LOUIS - MT 1","Milieu Défensif","Fleury - RCL",48,4557.83887,1317.35999,431.84,61.62,0,0,6,6,5,0,22.48258,95.38321
"Dayana PIERRE LOUIS - MT 2","Milieu Défensif","Fleury - RCL",16,1727.49536,582.40002,147.78999,35.23,0,0,1,2,2,0,21.90716,106.54673
"Laurine PINOT - MT 1",Piston,"Fleury - RCL",48,4763.35352,1287.66003,473.41,128.11,13.52,0,5,5,9,1,24.59117,99.68407
"Laurine PINOT - MT 2",Piston,"Fleury - RCL",20,2219.1416,620.23999,257.23999,138.98,0,0,0,7,7,0,23.00969,111.06444
"Carla POLITO - MT 1","Milieu Défensif","Fleury - RCL",48,4656.40479,1314.84998,344.53,65.35,18.73,12.01,3,6,5,2,25.53588,97.44592
"Carla POLITO - MT 2","Milieu Défensif","Fleury - RCL",26,2705.823,834.31,181.67999,8.15,0,0,0,3,1,0,19.54659,105.81677
"Fany PRONIEZ - MT 1",Piston,"Fleury - RCL",48,4613.13477,858.91998,457.01999,260.04999,25.99,0,12,14,19,2,24.34518,96.5404
"Fany PRONIEZ - MT 2",Piston,"Fleury - RCL",47,4373.4873,936.53003,422.97,193.46001,114.29,47.12,9,14,16,10,28.22325,92.58605
"Emma SMAALI - MT 1","Défenseur Central","Fleury - RCL",48,4493.10059,1122.93994,385.78,77.13,7.01,0,5,8,8,1,23.95312,94.02841
"Emma SMAALI - MT 2","Défenseur Central","Fleury - RCL",47,4498.28418,1125.48999,391.10999,202.56,8.4,0,1,4,8,1,24.07524,95.22798
"Naomie VAGRE - MT 2",Piston,"Fleury - RCL",28,2600.38037,692.03003,284.20999,104.25,5.47,19.79,1,3,7,1,29.59603,93.2359
