Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 1",Attaquante,"Evian - RCL",47,5425.94727,1979.01001,584.62,112.85,1.26,0,1,5,10,0,23.10752,114.91228
"Madelynn ANDERSON - MT 2",Attaquante,"Evian - RCL",25,2720.43579,858.32001,382.76999,82.04,0,0,0,3,8,0,20.72633,110.02403
"Louann ARCHIER - MT 2",Attaquante,"Evian - RCL",26,2928.11279,885.25,335.07999,133,51.91,16.74,5,6,13,4,26.079,112.77515
"Clara BERTRAND - MT 2",Sentinelle,"Evian - RCL",16,2218.95654,690.62,313.57001,101.99,7.8,1.96,4,6,10,1,25.43724,135.70355
"Tess DAVID - MT 1",Sentinelle,"Evian - RCL",47,5153.84229,1677.78003,724.23999,184.11,12.73,0,8,18,14,2,23.52579,109.14956
"Tess DAVID - MT 2",Sentinelle,"Evian - RCL",34,3854.14307,1335.64001,494.28,113.52,11.97,0,4,12,7,1,24.31416,112.2397
"Fatima EL GHAZOUANI - MT 1","Défenseur Central","Evian - RCL",47,5494.38037,1714.68994,551.21002,294.73001,94.21,37.74,7,11,21,4,27.00705,116.36158
"Fatima EL GHAZOUANI - MT 2","Défenseur Central","Evian - RCL",51,5517.22168,1737.10999,497.26999,324.97,50.98,0,4,9,23,4,24.55713,108.84277
"Aude GBEDJISSI - MT 1",Attaquante,"Evian - RCL",47,5281.79639,1382.89001,526.87,305.42001,56.27,42.08,15,14,22,6,28.2248,111.85941
"Aude GBEDJISSI - MT 2",Attaquante,"Evian - RCL",51,5472.04492,1333.30005,638.64001,302.39001,64.71,29.28,10,13,26,5,26.69831,107.95153
"Sherly JEUDY - MT 2",Attaquante,"Evian - RCL",34,3734.37622,1162.01001,431.85001,145.21001,23.49,0,4,7,12,2,24.39156,111.01825
"Blandine JOLY - MT 1",Gardienne,"Evian - RCL",47,2756.04419,301.01001,117.66,12.9,0,0,5,4,2,0,22.49947,58.3683
"Blandine JOLY - MT 2",Gardienne,"Evian - RCL",51,2718.58301,197.7,26.02,11.24,0,0,5,4,2,0,20.99514,53.63172
"Romane LEJEUNE - MT 1","Défenseur Central","Evian - RCL",47,4831.10303,1467.26001,358.94,170.2,40.75,6.36,9,13,13,2,25.52869,102.3145
"Romane LEJEUNE - MT 2","Défenseur Central","Evian - RCL",34,3366.97559,1040.98999,305.14001,137.86,19.04,0,0,3,10,1,24.49355,98.05249
"Jennifer LIMAGE - MT 2","Défenseur Central","Evian - RCL",16,1861.6687,752.53998,157.39,27.76,0,0,3,5,2,0,22.66753,113.85308
"Jennifer MEUNIER - MT 1",Piston,"Evian - RCL",47,5099.12842,1373.03003,529.34998,206.56,31.21,27.47,11,16,16,2,26.73881,107.99082
"Jennifer MEUNIER - MT 2",Piston,"Evian - RCL",51,5254.14111,1353.23999,556.26001,225.64,30.43,0,8,20,20,3,24.82392,103.65276
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"Evian - RCL",47,5120.02051,1476.01001,705.15002,210.16,9.56,0,5,18,16,0,23.67114,108.43328
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"Evian - RCL",17,1916.26709,719.75,191.7,75.14,11.87,0,2,4,5,1,25.15381,112.37455
"Laurine PINOT - MT 1",Piston,"Evian - RCL",47,5219.43066,1509.21997,525.14001,77.58,10.05,19.62,6,6,5,1,26.81267,110.53861
"Laurine PINOT - MT 2",Piston,"Evian - RCL",51,5127.67383,1515.69995,465.14999,148.22,11.35,0,7,11,13,1,23.89862,101.15784
"Carla POLITO - MT 1",Sentinelle,"Evian - RCL",47,5292.58057,1948.01001,444.29999,102.86,11.08,0,6,4,6,1,24.49803,112.0878
"Carla POLITO - MT 2",Sentinelle,"Evian - RCL",51,5450.54932,2092.81006,295.62,74.37,14.07,0,5,5,6,1,23.76409,107.52747
"Fany PRONIEZ - MT 1",Piston,"Evian - RCL",47,5333.56836,1564.46997,544.40997,339,80.82,62.95,14,20,30,10,30.07435,112.95585
"Fany PRONIEZ - MT 2",Piston,"Evian - RCL",51,5303.62207,1365.60999,449.57001,341.64999,132.17,60.75,11,19,29,10,26.9251,104.62891
