Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 1",Gardienne,"RCL - ASSE",47,2344.80981,286.75,96.03,1.16,0,0,2,1,0,0,19.1648,49.89842
"Madelynn ANDERSON - MT 2",Gardienne,"RCL - ASSE",50,2409.81616,160.22,47.06,15.7,0,0,2,2,2,0,21.0659,48.5066
"Louann ARCHIER - MT 1",Attaquante,"RCL - ASSE",47,5270.82129,1415.06006,515.45001,290.73001,100.16,79.77,13,11,22,9,29.38925,112.16502
"Louann ARCHIER - MT 2",Attaquante,"RCL - ASSE",47,5219.35254,1254.34998,517.69,304.91,96.53,18.23,4,18,25,6,25.77085,110.45664
"Clara BERTRAND - MT 2",Sentinelle,"RCL - ASSE",19,2440.86499,909.52002,274.54001,96.61,8.8,0,0,13,8,0,23.37049,127.93352
"Kaina EL KOUMIR - MT 2",Attaquante,"RCL - ASSE",29,3264.42822,791.10999,340.14001,174.46001,53.77,5.38,4,15,13,3,25.71076,111.39492
"Aude GBEDJISSI - MT 1",Attaquante,"RCL - ASSE",47,4865.50586,1006.01001,497.87,170.28,68.86,63.9,12,3,13,7,27.86137,103.53976
"Aude GBEDJISSI - MT 2",Attaquante,"RCL - ASSE",20,1995.61987,384.51001,203.88,120.02,44.41,4.15,5,3,11,2,25.6722,97.61396
"Sofia GUELLATI - MT 1","Défenseur Central","RCL - ASSE",47,4813.62061,1457.16003,363.87,98.08,23.99,12.36,6,8,7,2,26.26017,102.43562
"Sofia GUELLATI - MT 2","Défenseur Central","RCL - ASSE",50,4630.7334,1229.05005,217.55,25.92,0,0,4,4,3,0,22.85079,93.21091
"Sherly JEUDY - MT 1",Attaquante,"RCL - ASSE",47,4931.4209,1229.19995,471.87,292.39999,101.73,22.57,12,17,22,8,26.28466,104.94246
"Sherly JEUDY - MT 2",Attaquante,"RCL - ASSE",31,3103.84521,957.17999,266.38,122.46,28.02,0,3,8,10,2,24.9967,101.65931
"Emmy JEZEQUEL - MT 1","Défenseur Central","RCL - ASSE",47,5173.39453,1690.66003,594.31,183.45,8.98,9.01,5,6,14,1,26.289,110.09174
"Emmy JEZEQUEL - MT 2","Défenseur Central","RCL - ASSE",50,4925.46777,1651.78003,335.41,34.69,3.21,0,2,7,3,0,23.17893,99.14354
"Romane LEJEUNE - MT 1","Défenseur Central","RCL - ASSE",47,4695.61816,1332.05005,437.67999,222.83,28.48,25.79,5,9,15,3,26.63998,99.92449
"Romane LEJEUNE - MT 2","Défenseur Central","RCL - ASSE",50,4529.25928,1116.93005,256.44,117.7,26.61,16.26,2,5,10,2,26.39701,91.16836
"Alizée MEREAU - MT 2",Attaquante,"RCL - ASSE",2,339.32294,73.44,72.33,67.43,0,0,0,1,3,0,21.69659,143.88252
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"RCL - ASSE",47,5078.94727,1603.17004,536.96002,220.12,47.81,12.57,6,14,16,3,26.59027,108.08187
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"RCL - ASSE",31,2916.01514,814.09003,224.61,74.08,23.68,4.12,4,3,4,2,25.53402,95.50737
"Carla POLITO - MT 1",Sentinelle,"RCL - ASSE",47,5427.67871,2007.10999,599.01001,150.19,3.71,0,3,8,8,0,23.19373,115.50301
"Carla POLITO - MT 2",Sentinelle,"RCL - ASSE",50,5424.24463,1831.06995,428.12,47.99,0,0,5,8,3,0,22.16795,109.1833
"Fany PRONIEZ - MT 1",Piston,"RCL - ASSE",47,5126.11523,1464.47998,524.67999,339.72,110.24,127.76,11,15,25,10,29.02927,109.08562
"Fany PRONIEZ - MT 2",Piston,"RCL - ASSE",50,4986.29639,1321.81995,444.03,187.72,63.07,64.06,13,14,15,7,28.87424,100.36795
"Manon REVELLI - MT 1",Piston,"RCL - ASSE",47,5139.87842,1501.68994,750.21002,342.91,55.27,6.24,6,19,22,3,25.41968,109.37851
"Manon REVELLI - MT 2",Piston,"RCL - ASSE",50,5215.75,1533.93994,526.64001,188.92,45.68,36.71,5,14,18,2,27.29099,104.98656
"Naomie VAGRE - MT 2",Attaquante,"RCL - ASSE",19,2423.43042,809.16998,309.09,112.81,17.52,11.36,1,11,9,2,26.55064,126.56201
