Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Louann ARCHIER - MT 1",Attaquante,"RCL - HAC",45,5981.25391,1925.65002,766.77002,330.84,101.7,36.05,12,16,31,7,28.0909,132.30716
"Louann ARCHIER - MT 2",Attaquante,"RCL - HAC",48,5938.50537,1822.20996,640.15002,358.03,130.38,52.88,12,14,26,8,26.81692,123.56526
"Clara BERTRAND - MT 1",Sentinelle,"RCL - HAC",45,5781.09521,1952.89001,739.45001,259.07999,34.93,0,15,19,20,2,24.79042,127.87959
"Clara BERTRAND - MT 2",Sentinelle,"RCL - HAC",10,1157.19287,349.70999,167.84,52.31,5.96,0,4,1,6,0,23.32946,119.57972
"Kaina EL KOUMIR - MT 2",Attaquante,"RCL - HAC",32,3660.448,1203.15002,315.12,169.89,53.11,0,4,8,13,4,24.82579,114.17789
"Aude GBEDJISSI - MT 1",Attaquante,"RCL - HAC",45,5267.61426,1427.20996,546.78003,215.57001,43.21,31.63,14,9,19,4,28.80323,116.52123
"Aude GBEDJISSI - MT 2",Attaquante,"RCL - HAC",16,1920.38501,543.58002,219.63,113.94,46.34,3.93,6,1,9,3,25.75641,120.01906
"Emmy JEZEQUEL - MT 2","Défenseur Central","RCL - HAC",16,1981.85181,692.46002,247.72,82.93,20.11,0,2,4,5,2,24.42728,120.46755
"Blandine JOLY - MT 1",Gardienne,"RCL - HAC",45,2975.84448,292.29001,30.96,0,0,0,2,2,0,0,18.71046,65.82659
"Blandine JOLY - MT 2",Gardienne,"RCL - HAC",48,2867.00244,348.07999,62.27,12.49,0,0,3,3,2,0,21.27141,59.65506
"Romane LEJEUNE - MT 1","Défenseur Central","RCL - HAC",45,4758.53955,1366.21997,409.82999,142.17999,46.44,24.45,5,9,14,4,26.52436,105.26035
"Romane LEJEUNE - MT 2","Défenseur Central","RCL - HAC",27,2739.41089,797.51001,180.58,96.41,38.52,25.36,1,4,7,4,28.0003,100.84773
"Jennifer LIMAGE - MT 1","Défenseur Central","RCL - HAC",45,5295.94141,1656.88,569.09998,301.29001,37.87,0,14,16,20,4,24.60313,117.14784
"Jennifer LIMAGE - MT 2","Défenseur Central","RCL - HAC",32,3574.16357,1282.80005,343.63,133.16,40.02,6.82,10,7,14,5,26.5541,113.07603
"Jennifer MEUNIER - MT 2",Piston,"RCL - HAC",16,1769.3811,345.42999,244.94,110.6,51.6,0,6,10,8,3,25.1799,107.55244
"Laureen OILLIC - MT 2","Défenseur Central","RCL - HAC",25,2786.41699,1021.62,333.76999,66.16,27.99,15.24,6,5,6,3,27.34624,112.29817
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"RCL - HAC",38,4221.95313,1584.58997,396.73001,127.78,5.13,27.6,5,8,11,1,27.27886,109.99635
"Laurine PINOT - MT 2","Défenseur Central","RCL - HAC",21,2334.28613,627.33002,309.10001,90.06,29.71,3.44,3,7,7,2,25.37921,111.7106
"Carla POLITO - MT 1",Sentinelle,"RCL - HAC",45,5605.49609,1959.08997,605.29999,155.78999,20.45,0,4,9,12,2,24.70613,123.99528
"Carla POLITO - MT 2",Sentinelle,"RCL - HAC",23,2760.16455,890.84003,342.03,72.58,25.08,4.21,0,4,5,1,25.34858,118.73037
"Fany PRONIEZ - MT 1",Piston,"RCL - HAC",45,5237.30859,1361.71997,536.21002,283.91,89.06,121.73,13,15,25,10,30.84356,115.85086
"Fany PRONIEZ - MT 2",Piston,"RCL - HAC",48,4983.69775,1096.33997,454.54001,332.62,123.22,79.72,8,21,27,11,30.11722,103.69813
"Manon REVELLI - MT 1",Piston,"RCL - HAC",45,5153.37598,1459.72998,697.63,313.28,105.94,58.89,7,24,28,7,27.44974,113.99425
"Manon REVELLI - MT 2",Piston,"RCL - HAC",32,3459.60986,933.41998,466.20999,283.82001,78.39,31.11,7,18,24,5,26.86592,109.45188
"Emma SMAALI - MT 1","Défenseur Central","RCL - HAC",45,4985.04785,1357.90002,542.89001,192.75,7.76,0,1,7,13,1,23.27402,110.27078
"Emma SMAALI - MT 2","Défenseur Central","RCL - HAC",48,5160.83398,1594.51001,436.75,179.48,61.32,0,2,9,13,4,25.19012,107.38389
"Naomie VAGRE - MT 1",Attaquante,"RCL - HAC",45,5065.57373,1445.46997,422.26999,159.25999,47.55,65.09,7,20,13,6,28.91934,112.05204
"Naomie VAGRE - MT 2",Attaquante,"RCL - HAC",48,4898.10938,1450.12,387.47,114.25,21.15,43.24,5,5,10,2,27.86669,101.91726
