Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 1",Attaquante,"RCL - Rodez",48,5187.49609,1758.20996,508.26999,160.94,5.51,0,5,14,14,1,23.1646,107.78653
"Madelynn ANDERSON - MT 2",Attaquante,"RCL - Rodez",22,2385.3501,770.22998,230.57001,50.31,5.01,0,2,4,3,0,23.44211,106.46666
"Louann ARCHIER - MT 1",Attaquante,"RCL - Rodez",48,5183.16602,1288.60999,517.73999,373.51999,159.83,36.13,15,18,29,10,26.4865,107.69656
"Louann ARCHIER - MT 2",Attaquante,"RCL - Rodez",49,4967.84424,1040.69995,447.22,311.17001,82.99,79.9,13,22,26,8,27.7637,101.22757
"Clara BERTRAND - MT 1",Sentinelle,"RCL - Rodez",48,5389.56348,1764.20996,642.51001,175.73,6.95,0,9,15,14,1,24.39743,111.98511
"Clara BERTRAND - MT 2",Sentinelle,"RCL - Rodez",49,5393.05566,1618.10999,544.13,226.73,34.82,6.29,7,15,19,1,25.40925,109.89192
"Fatima EL GHAZOUANI - MT 1","Défenseur Central","RCL - Rodez",48,5016.79297,1352.92004,580.72998,182.32001,52.82,0,8,6,14,4,24.93907,104.23963
"Fatima EL GHAZOUANI - MT 2","Défenseur Central","RCL - Rodez",33,3570.68457,1085.20996,347.73001,73.27,0,0,1,4,5,0,22.50403,106.77512
"Sherly JEUDY - MT 1",Attaquante,"RCL - Rodez",48,4695.36963,1134.62,572.02002,374.34,51.88,9.02,11,19,27,3,25.42188,97.56105
"Sherly JEUDY - MT 2",Attaquante,"RCL - Rodez",49,5138.6123,1524.96997,765.39001,298.01999,25.61,10.56,10,16,21,3,25.93622,104.70724
"Emmy JEZEQUEL - MT 2",Attaquante,"RCL - Rodez",27,2912.84521,846.35999,369.64001,128.96001,28.92,0,8,8,11,1,24.30799,109.21258
"Blandine JOLY - MT 1",Gardienne,"RCL - Rodez",48,2672.05249,265.78,59.28,1.5,0,0,2,0,0,0,19.16933,55.52028
"Blandine JOLY - MT 2",Gardienne,"RCL - Rodez",49,2889.09888,167.36,51.31,3.63,0,0,3,6,0,0,19.69452,58.86989
"Romane LEJEUNE - MT 1","Défenseur Central","RCL - Rodez",48,4150.66943,1078.18994,412.60001,158.39,17.44,0,7,8,14,2,23.88475,86.2432
"Romane LEJEUNE - MT 2","Défenseur Central","RCL - Rodez",49,4168.29541,1059.43005,290.84,126.09,6.34,0,6,8,11,1,24.59776,84.93552
"Jennifer LIMAGE - MT 2","Défenseur Central","RCL - Rodez",16,1745.35474,528.88,175.73,79.15,19.63,5.63,4,4,5,2,25.78206,110.95119
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"RCL - Rodez",48,4869.03711,1583.17004,514.52002,141.42,27.15,2.09,9,11,12,2,25.26881,101.16954
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"RCL - Rodez",49,5225.13916,1636.26001,416.42999,196.92999,35.37,15.79,8,11,15,1,26.13419,106.47036
"Laurine PINOT - MT 1",Piston,"RCL - Rodez",48,4732.68018,1193.67004,522.52002,209.97,5.46,0,6,7,14,0,23.95493,98.3363
"Laurine PINOT - MT 2",Piston,"RCL - Rodez",49,4794.0791,1364.70996,496.82001,185.16,5.58,0,6,8,13,1,23.94619,97.68683
"Carla POLITO - MT 1",Sentinelle,"RCL - Rodez",48,5027.28076,1612.44995,485.39001,82.19,0,0,7,8,7,0,22.82256,104.45755
"Carla POLITO - MT 2",Sentinelle,"RCL - Rodez",49,5336.77246,1766.29004,459,59.78,0,0,7,5,5,0,22.74592,108.74506
"Fany PRONIEZ - MT 1",Piston,"RCL - Rodez",48,4936.86914,1298.55005,494.70999,227.17,50.61,74.29,9,23,19,5,27.19522,102.57897
"Fany PRONIEZ - MT 2",Piston,"RCL - Rodez",49,5259.46875,1372.39001,444.85001,291.17999,65,50.61,15,19,20,7,27.65277,107.16987
