Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 2",Attaquante,"RC Luxembourg",50,4471.95117,829.07001,346.25,221.46001,23.1,6.33,4,12,21,3,25.9209,89.33599
"Ambre BOUCHARD - MT 2",Gardienne,"RC Luxembourg",50,2107.87231,184.53,14.7,16.06,0,0,1,1,1,0,21.01971,42.10888
"Kaina EL KOUMIR - MT 1",Attaquante,"RC Luxembourg",47,4323.60156,870.87,378.64999,192.3,46.06,5.49,7,8,13,3,25.75625,92.81534
"Aude GBEDJISSI - MT 1",Attaquante,"RC Luxembourg",47,4455.25049,767.94,380.73001,190.89999,75.57,45.26,9,24,17,8,27.77392,95.64147
"Sherly JEUDY - MT 2",Attaquante,"RC Luxembourg",50,4371.68555,1025.41003,311.41,196.61,42.78,21.02,8,19,15,3,28.46989,87.33299
"Blandine JOLY - MT 1",Gardienne,"RC Luxembourg",47,2290.67261,70.07,8.19,0,0,0,0,0,0,0,16.5983,49.17418
"Romane LEJEUNE - MT 1","Défenseur Central","RC Luxembourg",47,4021.78662,1089.18005,192.62,40.84,0,0,4,3,4,0,22.02543,86.33624
"Jennifer LIMAGE - MT 2","Défenseur Central","RC Luxembourg",50,4813.66602,1249.31995,311.38,17.59,0,0,4,12,3,0,20.47511,96.16241
"Alizée MEREAU - MT 2",Attaquante,"RC Luxembourg",50,4784.96436,1151.09998,360.01001,276.73001,38.78,0,4,7,21,3,24.72426,95.58904
"Jennifer MEUNIER - MT 2",Piston,"RC Luxembourg",50,4078.22949,797.23999,281.64001,76.84,8.71,0,4,8,7,0,23.81424,81.47063
"Lizzy MILLEQUANT - MT 1","Défenseur Central","RC Luxembourg",47,3439.99634,791.42999,132.86,39.59,0,0,1,2,4,0,22.98498,73.84687
"Laureen OILLIC - MT 1","Défenseur Central","RC Luxembourg",47,4041.47681,955.25,219.24001,41.51,0,0,2,5,2,0,22.93336,86.75893
"Dayana PIERRE LOUIS - MT 2","Milieu Défensif","RC Luxembourg",50,4384.16895,1058.25,243.02,35.04,0,0,5,3,4,0,20.87223,87.58237
"Laurine PINOT - MT 2",Piston,"RC Luxembourg",50,4658.91016,1102.64001,447.60999,119.51,2.22,0,0,6,10,0,23.69773,93.07086
"Carla POLITO - MT 1","Milieu Défensif","RC Luxembourg",47,4539.85449,1340.91003,243.42999,15.63,0,0,1,5,1,0,20.78231,97.45767
"Fany PRONIEZ - MT 1",Piston,"RC Luxembourg",47,4650.00439,1110.62,269.94,199.32001,68.48,142.05,6,8,16,8,29.34995,99.82227
"Emma SMAALI - MT 2","Défenseur Central","RC Luxembourg",50,4178.20947,937.70001,198.50999,44.64,17.06,0,1,4,4,1,24.23967,83.46792
"Naomie VAGRE - MT 1",Piston,"RC Luxembourg",47,4367.68408,1078.12,185.50999,81.24,15.94,3.81,0,6,6,2,26.19776,93.76167
