Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Louann ARCHIER - MT 2",Attaquante,"Toulouse - RCL",36,3901.67163,1005.46002,399.88,241.02,106.62,37.77,9,20,20,8,26.90175,108.93503
"Clara BERTRAND - MT 2",Sentinelle,"Toulouse - RCL",3,356.68188,105.05,36.2,23.33,3.06,0,0,3,2,0,23.36459,122.85254
"Tess DAVID - MT 2",Sentinelle,"Toulouse - RCL",27,3143.43311,1007.91998,509.37,107.49,25.93,6.73,6,6,8,3,25.81215,116.92
"Kaina EL KOUMIR - MT 1",Attaquante,"Toulouse - RCL",48,4938.41016,1260.82996,550.19,198.31,50.89,24.96,7,14,17,4,27.19118,102.86604
"Kaina EL KOUMIR - MT 2",Attaquante,"Toulouse - RCL",48,4615.49951,1270.87,383.26999,170.66,18.67,8.19,6,7,12,2,26.40169,96.37744
"Aude GBEDJISSI - MT 1",Attaquante,"Toulouse - RCL",48,4678.37549,1032.44995,375.70001,161.59,37.57,63.06,8,17,13,4,29.01926,97.44958
"Aude GBEDJISSI - MT 2",Attaquante,"Toulouse - RCL",51,4745.71045,1059.20996,351.48001,180.92999,51.68,5.67,9,14,14,5,26.21752,93.28056
"Sherly JEUDY - MT 1",Attaquante,"Toulouse - RCL",48,4884.96436,1071.35999,570.38,272.16,95.39,0,12,14,22,7,24.87384,101.75278
"Sherly JEUDY - MT 2",Attaquante,"Toulouse - RCL",15,1503.97021,386.31,198.12,111.81,8.63,0,1,7,8,1,24.10395,98.53377
"Blandine JOLY - MT 1",Gardienne,"Toulouse - RCL",48,2763.8125,179.39,28.75,28.08,21.09,0,2,3,3,1,24.11722,57.56963
"Blandine JOLY - MT 2",Gardienne,"Toulouse - RCL",51,2960.53125,271.20999,88.13,34.45,16.97,0,2,4,2,1,24.63208,58.1915
"Romane LEJEUNE - MT 1","Défenseur Central","Toulouse - RCL",48,3833.87866,820.69,391.44,190.47,24.2,0,6,9,14,2,24.03991,79.85889
"Romane LEJEUNE - MT 2","Défenseur Central","Toulouse - RCL",51,3803.90552,798.65997,251.13,177.64999,54.79,40.05,8,11,14,6,27.41591,74.76866
"Jennifer LIMAGE - MT 1","Défenseur Central","Toulouse - RCL",48,4608.16895,1211.57996,543.91998,118.38,34.37,13.22,9,11,11,4,26.60991,95.98719
"Jennifer LIMAGE - MT 2","Défenseur Central","Toulouse - RCL",51,4785.92334,1088.45996,494.12,203.89,53.99,33.82,14,8,16,5,29.20851,94.07097
"Jennifer MEUNIER - MT 1",Piston,"Toulouse - RCL",48,4713.18408,1095.66003,513.01001,216.37,71.13,9.08,5,14,17,5,25.53184,98.17463
"Jennifer MEUNIER - MT 2",Piston,"Toulouse - RCL",51,1801.3844,291.89999,126.16,69.01,15.21,22.69,1,3,5,2,26.17737,35.40758
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"Toulouse - RCL",48,4591.39746,1261.52002,479.73999,239.09,51.24,0,7,7,12,4,24.79139,95.63784
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"Toulouse - RCL",24,2228.47754,628.03998,193.28,81.7,0,0,3,6,6,0,22.93124,92.18934
"Laurine PINOT - MT 1",Piston,"Toulouse - RCL",48,4482.08203,1029.59998,331.89001,172.81,10.17,0,2,7,15,1,24.48631,93.36082
"Laurine PINOT - MT 2",Piston,"Toulouse - RCL",51,4663.13477,1122.43005,372.51999,116.74,0,0,2,6,9,0,22.89263,91.65747
"Carla POLITO - MT 1",Sentinelle,"Toulouse - RCL",48,4949.91943,1525.18994,500.54001,93.05,21.67,20.51,1,9,6,2,26.07513,103.10578
"Carla POLITO - MT 2",Sentinelle,"Toulouse - RCL",51,4958.66553,1418.27002,474.70999,91.02,27.08,0,5,12,7,2,24.30808,97.46635
"Fany PRONIEZ - MT 1",Piston,"Toulouse - RCL",48,4698.66211,1047.22998,414.17999,325.79001,98.31,71.57,13,13,20,7,27.99125,97.87214
"Fany PRONIEZ - MT 2",Piston,"Toulouse - RCL",51,4688.15186,1144.35999,419.29999,257.42001,38.95,32.69,11,14,18,3,28.23603,92.1492
"Emma SMAALI - MT 2","Défenseur Central","Toulouse - RCL",36,3327.39453,845.85999,331.54999,70.07,0,0,2,3,5,0,21.76091,92.36306
