Name,"Position Name","Activity Name","Field Time","Total Distance (m)","LSR Total distance (m)","HSR Total distance (m)","VHSR Total Distance (m)","SPR Total Distance (m)","SPR + Total Distance (m)","Acceleration B2-3 Total Efforts (Gen 2)","Deceleration B2-3 Total Efforts (Gen 2)","VHSR + SPR effort","Sprint effort","Maximum Velocity (km/h)","Meterage Per Minute"
"Madelynn ANDERSON - MT 2",Gardienne,"RCL - ANDERLECHT ",49,1755.27856,204.23,28.9,11.26,0,0,0,2,1,0,21.94131,36.08652
"Louann ARCHIER - MT 2",Attaquante,"RCL - ANDERLECHT ",15,1948.91418,659.78998,202.94,92.32,43.03,49.24,5,10,8,4,27.71875,125.77697
"Clara BERTRAND - MT 1",Sentinelle,"RCL - ANDERLECHT ",46,5477.79883,1728.93005,706.84998,273.89001,72.72,22.91,14,17,18,4,26.75861,118.6951
"Clara BERTRAND - MT 2",Sentinelle,"RCL - ANDERLECHT ",49,5369.24756,1626.42004,521.54999,190.91,78.65,22.54,9,14,20,5,25.81393,110.3856
"Kaina EL KOUMIR - MT 2",Attaquante,"RCL - ANDERLECHT ",27,2936.89893,742.59998,433.25,213.97,50.22,15.7,9,14,18,4,26.34602,108.91387
"Aude GBEDJISSI - MT 1",Attaquante,"RCL - ANDERLECHT ",46,5010.41943,1344.88,646.01001,276.45001,65.21,0,17,11,22,5,24.55585,108.56774
"Aude GBEDJISSI - MT 2",Attaquante,"RCL - ANDERLECHT ",33,3646.93506,920.38,442.57999,244.85001,72.93,41.64,12,7,19,4,28.0467,110.0264
"Sherly JEUDY - MT 1",Attaquante,"RCL - ANDERLECHT ",46,5065.5542,1530.90002,671.89001,180.83,14.11,31.56,4,15,17,2,27.1802,109.76242
"Sherly JEUDY - MT 2",Attaquante,"RCL - ANDERLECHT ",49,4898.83008,1439.02002,462.57999,228.46001,0,0,7,12,17,0,22.25282,100.71435
"Emmy JEZEQUEL - MT 2","Défenseur Central","RCL - ANDERLECHT ",19,2036.72107,728.91998,206.7,82,2.51,0,3,4,6,0,23.13841,108.1598
"Blandine JOLY - MT 1",Gardienne,"RCL - ANDERLECHT ",46,2692.42407,207.59,26.11,0,0,0,0,1,0,0,17.61337,58.34051
"Romane LEJEUNE - MT 1","Défenseur Central","RCL - ANDERLECHT ",46,4438.20703,1156.47998,401.04999,310.35001,42.34,46.47,8,10,20,5,28.17664,96.16882
"Romane LEJEUNE - MT 2","Défenseur Central","RCL - ANDERLECHT ",49,4613.41797,1340.19995,336.75,194.67,117.58,56.09,6,6,18,9,27.51243,94.84661
"Jennifer LIMAGE - MT 1","Défenseur Central","RCL - ANDERLECHT ",46,4714.17578,1192.94995,562.02002,252.48,75.76,49.6,10,15,21,8,28.26165,102.14862
"Jennifer LIMAGE - MT 2","Défenseur Central","RCL - ANDERLECHT ",30,3105.43579,787.01001,327.44,148.03,81.85,0,12,13,13,5,24.96201,104.17313
"Laureen OILLIC - MT 1",Piston,"RCL - ANDERLECHT ",46,4810.50195,1276.03003,467.62,267.92001,117.72,13.08,0,12,19,8,26.37491,104.23585
"Laureen OILLIC - MT 2",Piston,"RCL - ANDERLECHT ",30,3065.89209,818.53998,221.64999,78.91,48.86,75.04,1,5,7,4,27.84133,102.84662
"Dayana PIERRE LOUIS - MT 1",Sentinelle,"RCL - ANDERLECHT ",46,4773.95801,1444.77002,608.98999,139.83,15,0,4,8,13,1,24.64112,103.444
"Dayana PIERRE LOUIS - MT 2",Sentinelle,"RCL - ANDERLECHT ",22,2098.21826,596.58002,275.12,81.08,15.21,0,3,9,5,1,25.07746,96.80063
"Carla POLITO - MT 2",Sentinelle,"RCL - ANDERLECHT ",27,3023.12769,1115.56995,269.89001,24.24,0,0,0,7,3,0,21.86696,112.11164
"Fany PRONIEZ - MT 1",Piston,"RCL - ANDERLECHT ",46,5156.32568,1274.40002,611.13,349.48001,73.14,54.75,14,26,31,8,29.18915,111.7293
"Fany PRONIEZ - MT 2",Piston,"RCL - ANDERLECHT ",49,5192.46924,1367.03003,544.64001,276.14999,74.68,56.97,16,26,23,6,29.14603,106.75124
"Manon REVELLI - MT 1",Piston,"RCL - ANDERLECHT ",46,5151.03027,1319.15002,745.23999,434.66,74.78,56.87,9,27,29,6,27.69932,111.61455
"Manon REVELLI - MT 2",Piston,"RCL - ANDERLECHT ",49,4872.64551,1365.12,604.79999,301.44,72.17,0,8,21,24,5,25.00236,100.17603
"Emma SMAALI - MT 2","Défenseur Central","RCL - ANDERLECHT ",19,1957.00012,573.94,210.84,91.05,6.41,0,2,6,7,1,23.26656,103.92623
"Naomie VAGRE - MT 1",Attaquante,"RCL - ANDERLECHT ",46,4861.0498,1445.27002,565.59998,313.03,55.39,8.23,10,16,30,4,26.63227,105.33114
"Naomie VAGRE - MT 2",Attaquante,"RCL - ANDERLECHT ",22,2145.61792,492.70001,229.21001,135.14,23.89,44.42,5,5,9,2,28.22698,98.9874
